dt,recent_days,tm_id,tm_name,order_repeat_rate
2020-06-14,7,11,香奈儿,0.10
2020-06-14,30,1,三星,0.31
2020-06-14,30,9,CAREMiLLE,0.20
2020-06-14,7,9,CAREMiLLE,0.20
2020-06-14,7,2,苹果,0.42
2020-06-14,7,7,金沙河,0.14
2020-06-14,30,11,香奈儿,0.10
2020-06-14,30,3,华为,0.27
2020-06-14,7,3,华为,0.27
2020-06-14,30,5,小米,0.11
2020-06-14,30,2,苹果,0.42
2020-06-14,7,8,索芙特,0.25
2020-06-14,30,7,金沙河,0.14
2020-06-14,30,8,索芙特,0.25
2020-06-14,7,5,小米,0.11
2020-06-14,7,4,TCL,0.12
2020-06-14,30,6,长粒香,0.11
2020-06-14,30,4,TCL,0.12
2020-06-14,7,6,长粒香,0.11
2020-06-14,7,1,三星,0.31
