id,order_id,user_id,sku_id,province_id,activity_id,activity_rule_id,coupon_id,date_id,cancel_time,source_id,source_type_code,source_type_name,sku_num,split_original_amount,split_activity_amount,split_coupon_amount,split_total_amount,dt
13117,4896,150,34,21,,,,2020-06-10,2020-06-10 11:05:18,2,2404,促销活动,3,11781.00,,,11781.00,2020-06-10
13118,4896,150,5,21,,,,2020-06-10,2020-06-10 11:05:18,1,2404,促销活动,3,2997.00,,,2997.00,2020-06-10
13123,4899,86,23,11,,,,2020-06-11,2020-06-11 11:07:29,53,2402,商品推广,2,80.00,,,80.00,2020-06-11
13124,4899,86,22,11,,,,2020-06-11,2020-06-11 11:07:29,47,2402,商品推广,3,117.00,,,117.00,2020-06-11
13125,4900,122,33,27,,,,2020-06-11,2020-06-11 11:07:29,41,2402,商品推广,1,488.00,,,488.00,2020-06-11
13126,4900,122,7,27,,,,2020-06-11,2020-06-11 11:07:29,,2401,用户查询,1,1299.00,,,1299.00,2020-06-11
13130,4902,155,24,8,,,,2020-06-11,2020-06-11 11:07:29,,2401,用户查询,1,11.00,,,11.00,2020-06-11
13131,4902,155,2,8,,,,2020-06-11,2020-06-11 11:07:29,,2401,用户查询,1,6999.00,,,6999.00,2020-06-11
13132,4903,193,29,24,3,5,,2020-06-11,2020-06-11 11:07:29,,2401,用户查询,2,138.00,14.00,,124.00,2020-06-11
13133,4903,193,23,24,,,,2020-06-11,2020-06-11 11:07:29,,2401,用户查询,4,160.00,,,160.00,2020-06-11
13134,4903,193,26,24,3,5,,2020-06-11,2020-06-11 11:07:29,,2403,智能推荐,2,258.00,26.00,,232.00,2020-06-11
13135,4903,193,3,24,,,,2020-06-11,2020-06-11 11:07:29,,2401,用户查询,2,11998.00,,,11998.00,2020-06-11
13136,4903,193,25,24,,,,2020-06-11,2020-06-11 11:07:29,,2401,用户查询,1,23.00,,,23.00,2020-06-11
13137,4903,193,10,24,2,4,,2020-06-11,2020-06-11 11:07:29,73,2402,商品推广,3,24591.00,500.00,,24091.00,2020-06-11
13138,4904,16,20,1,,,,2020-06-11,2020-06-11 11:07:29,,2401,用户查询,2,5798.00,,,5798.00,2020-06-11
13139,4904,16,15,1,,,,2020-06-11,2020-06-11 11:07:29,,2401,用户查询,3,13464.00,,,13464.00,2020-06-11
13140,4904,16,6,1,,,,2020-06-11,2020-06-11 11:07:29,,2401,用户查询,3,3897.00,,,3897.00,2020-06-11
13141,4905,21,30,28,3,6,3,2020-06-11,2020-06-11 11:07:29,,2401,用户查询,3,207.00,41.00,22.26,143.74,2020-06-11
13141,4905,21,30,28,3,6,3,2020-06-11,2020-06-11 11:07:29,,2401,用户查询,3,207.00,41.00,22.26,143.74,2020-06-11
13142,4905,21,1,28,,,,2020-06-11,2020-06-11 11:07:29,,2401,用户查询,3,17997.00,,,17997.00,2020-06-11
13143,4905,21,21,28,,,,2020-06-11,2020-06-11 11:07:29,,2403,智能推荐,2,6598.00,,,6598.00,2020-06-11
13144,4905,21,26,28,3,6,3,2020-06-11,2020-06-11 11:07:29,2,2404,促销活动,2,258.00,52.00,27.74,178.26,2020-06-11
13144,4905,21,26,28,3,6,3,2020-06-11,2020-06-11 11:07:29,2,2404,促销活动,2,258.00,52.00,27.74,178.26,2020-06-11
13152,4911,343,18,4,,,,2020-06-11,2020-06-11 11:07:29,35,2402,商品推广,1,9199.00,,,9199.00,2020-06-11
13153,4911,343,1,4,,,,2020-06-11,2020-06-11 11:07:29,,2401,用户查询,3,17997.00,,,17997.00,2020-06-11
13154,4911,343,12,4,2,3,,2020-06-11,2020-06-11 11:07:29,,2401,用户查询,1,9197.00,200.00,,8997.00,2020-06-11
13155,4911,343,22,4,,,,2020-06-11,2020-06-11 11:07:29,29,2402,商品推广,2,78.00,,,78.00,2020-06-11
13161,4913,389,27,28,,,,2020-06-11,2020-06-11 11:07:29,82,2402,商品推广,1,129.00,,,129.00,2020-06-11
13162,4913,389,34,28,,,,2020-06-11,2020-06-11 11:07:29,,2401,用户查询,2,7854.00,,,7854.00,2020-06-11
13163,4913,389,20,28,,,,2020-06-11,2020-06-11 11:07:29,58,2402,商品推广,1,2899.00,,,2899.00,2020-06-11
13173,4917,163,5,4,,,,2020-06-12,2020-06-12 11:07:56,,2401,用户查询,2,1998.00,,,1998.00,2020-06-12
13174,4917,163,20,4,,,,2020-06-12,2020-06-12 11:07:56,,2401,用户查询,3,8697.00,,,8697.00,2020-06-12
13175,4917,163,24,4,,,,2020-06-12,2020-06-12 11:07:56,2,2404,促销活动,2,22.00,,,22.00,2020-06-12
13186,4922,288,23,17,,,,2020-06-12,2020-06-12 11:07:56,,2401,用户查询,2,80.00,,,80.00,2020-06-12
13187,4922,288,26,17,,,,2020-06-12,2020-06-12 11:07:56,1,2404,促销活动,1,129.00,,,129.00,2020-06-12
13189,4924,14,16,15,,,,2020-06-12,2020-06-12 11:07:56,,2401,用户查询,3,13464.00,,,13464.00,2020-06-12
13205,4932,284,21,10,,,,2020-06-12,2020-06-12 11:07:56,97,2402,商品推广,1,3299.00,,,3299.00,2020-06-12
13206,4932,284,35,10,,,,2020-06-12,2020-06-12 11:07:56,,2403,智能推荐,3,16497.00,,,16497.00,2020-06-12
13207,4932,284,10,10,2,4,,2020-06-12,2020-06-12 11:07:56,,2401,用户查询,3,24591.00,500.00,,24091.00,2020-06-12
13219,4939,450,19,1,,,,2020-06-12,2020-06-12 11:07:56,39,2402,商品推广,1,11999.00,,,11999.00,2020-06-12
13220,4939,450,5,1,,,,2020-06-12,2020-06-12 11:07:56,,2401,用户查询,3,2997.00,,,2997.00,2020-06-12
13229,4942,510,7,7,,,,2020-06-12,2020-06-12 11:07:56,,2401,用户查询,2,2598.00,,,2598.00,2020-06-12
13230,4942,510,24,7,,,,2020-06-12,2020-06-12 11:07:56,,2401,用户查询,3,33.00,,,33.00,2020-06-12
13231,4942,510,32,7,,,,2020-06-12,2020-06-12 11:07:56,,2403,智能推荐,1,300.00,,,300.00,2020-06-12
13236,4944,86,30,28,,,3,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,2,138.00,,25.00,113.00,2020-06-13
13236,4944,86,30,28,,,3,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,2,138.00,,25.00,113.00,2020-06-13
13236,4944,86,30,28,,,3,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,2,138.00,,25.00,113.00,2020-06-13
13236,4944,86,30,28,,,3,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,2,138.00,,25.00,113.00,2020-06-13
13237,4944,86,12,28,1,2,,2020-06-13,2020-06-13 11:08:16,34,2402,商品推广,3,27591.00,1200.00,,26391.00,2020-06-13
13237,4944,86,12,28,2,4,,2020-06-13,2020-06-13 11:08:16,34,2402,商品推广,3,27591.00,1200.00,,26391.00,2020-06-13
13238,4945,16,20,10,,,,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,2,5798.00,,,5798.00,2020-06-13
13239,4945,16,30,10,,,3,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,2,138.00,,25.00,113.00,2020-06-13
13239,4945,16,30,10,,,3,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,2,138.00,,25.00,113.00,2020-06-13
13239,4945,16,30,10,,,3,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,2,138.00,,25.00,113.00,2020-06-13
13239,4945,16,30,10,,,3,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,2,138.00,,25.00,113.00,2020-06-13
13240,4945,16,16,10,,,,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,1,4488.00,,,4488.00,2020-06-13
13243,4947,59,17,15,,,,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,3,20097.00,,,20097.00,2020-06-13
13244,4947,59,32,15,,,,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,1,300.00,,,300.00,2020-06-13
13245,4947,59,24,15,,,,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,3,33.00,,,33.00,2020-06-13
13250,4949,92,10,34,2,3,,2020-06-13,2020-06-13 11:08:16,2,2404,促销活动,1,8197.00,200.00,,7997.00,2020-06-13
13262,4954,25,4,30,,,,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,2,1998.00,,,1998.00,2020-06-13
13263,4954,25,14,30,,,,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,1,4188.00,,,4188.00,2020-06-13
13264,4954,25,32,30,,,,2020-06-13,2020-06-13 11:08:16,,2403,智能推荐,2,600.00,,,600.00,2020-06-13
13265,4954,25,29,30,,,2,2020-06-13,2020-06-13 11:08:16,,2403,智能推荐,1,69.00,,17.50,51.50,2020-06-13
13265,4954,25,29,30,,,2,2020-06-13,2020-06-13 11:08:16,,2403,智能推荐,1,69.00,,17.50,51.50,2020-06-13
13265,4954,25,29,30,,,2,2020-06-13,2020-06-13 11:08:16,,2403,智能推荐,1,69.00,,17.50,51.50,2020-06-13
13265,4954,25,29,30,,,2,2020-06-13,2020-06-13 11:08:16,,2403,智能推荐,1,69.00,,17.50,51.50,2020-06-13
13282,4960,491,5,12,,,,2020-06-13,2020-06-13 11:08:16,,2403,智能推荐,2,1998.00,,,1998.00,2020-06-13
13283,4960,491,26,12,3,5,,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,3,387.00,39.00,,348.00,2020-06-13
13285,4962,1,16,31,,,,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,2,8976.00,,,8976.00,2020-06-13
13286,4962,1,18,31,,,,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,3,27597.00,,,27597.00,2020-06-13
13287,4963,9,27,17,,,3,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,1,129.00,,25.00,104.00,2020-06-13
13287,4963,9,27,17,,,3,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,1,129.00,,25.00,104.00,2020-06-13
13287,4963,9,27,17,,,3,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,1,129.00,,25.00,104.00,2020-06-13
13287,4963,9,27,17,,,3,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,1,129.00,,25.00,104.00,2020-06-13
13288,4963,9,2,17,,,,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,3,20997.00,,,20997.00,2020-06-13
13298,4966,133,18,6,,,,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,2,18398.00,,,18398.00,2020-06-13
13299,4967,167,33,23,,,,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,3,1464.00,,,1464.00,2020-06-13
13300,4967,167,21,23,,,,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,3,9897.00,,,9897.00,2020-06-13
13301,4967,167,30,23,3,5,,2020-06-13,2020-06-13 11:08:16,2,2404,促销活动,2,138.00,14.00,,124.00,2020-06-13
13302,4967,167,31,23,3,5,,2020-06-13,2020-06-13 11:08:16,,2401,用户查询,1,69.00,6.90,,62.10,2020-06-13
13305,4969,381,16,21,,,,2020-06-13,2020-06-13 11:08:16,50,2402,商品推广,3,13464.00,,,13464.00,2020-06-13
13306,4969,381,30,21,,,,2020-06-13,2020-06-13 11:08:16,48,2402,商品推广,1,69.00,,,69.00,2020-06-13
19390,6877,59,28,9,,,3,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,129.00,,16.65,112.35,2020-06-14
19390,6877,59,28,9,,,3,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,129.00,,16.65,112.35,2020-06-14
19390,6877,59,28,9,,,3,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,129.00,,16.65,112.35,2020-06-14
19390,6877,59,28,9,,,3,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,129.00,,16.65,112.35,2020-06-14
19390,6877,59,28,9,,,3,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,129.00,,16.65,112.35,2020-06-14
19390,6877,59,28,9,,,3,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,129.00,,16.65,112.35,2020-06-14
19390,6877,59,28,9,,,3,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,129.00,,16.65,112.35,2020-06-14
19390,6877,59,28,9,,,3,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,129.00,,16.65,112.35,2020-06-14
19390,6877,59,28,9,,,3,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,129.00,,16.65,112.35,2020-06-14
19390,6877,59,28,9,,,3,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,129.00,,16.65,112.35,2020-06-14
19390,6877,59,28,9,,,3,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,129.00,,16.65,112.35,2020-06-14
19390,6877,59,28,9,,,3,2020-06-14,2020-06-14 17:23:23,,2401,用户查询,1,129.00,,16.65,112.35,2020-06-14
