id,user_id,sku_id,date_id,create_time,source_id,source_type_code,source_type_name,sku_num,dt
30916,23,15,2020-06-10,2020-06-10 11:05:17,40,2402,商品推广,1,2020-06-10
30917,23,3,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,2,2020-06-10
30918,23,34,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,2,2020-06-10
30919,23,29,2020-06-10,2020-06-10 11:05:17,52,2402,商品推广,3,2020-06-10
30920,23,33,2020-06-10,2020-06-10 11:05:17,30,2402,商品推广,3,2020-06-10
30922,23,1,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,1,2020-06-10
30923,40,22,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,5,2020-06-10
30924,40,26,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,2,2020-06-10
30926,40,30,2020-06-10,2020-06-10 11:05:17,89,2402,商品推广,3,2020-06-10
30927,40,2,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,6,2020-06-10
30928,40,32,2020-06-10,2020-06-10 11:05:17,89,2402,商品推广,3,2020-06-10
30930,43,9,2020-06-10,2020-06-10 11:05:17,1,2404,促销活动,6,2020-06-10
30931,43,27,2020-06-10,2020-06-10 11:05:17,83,2402,商品推广,1,2020-06-10
30933,43,23,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,3,2020-06-10
30934,44,11,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,3,2020-06-10
30935,44,25,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,4,2020-06-10
30936,44,16,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,2,2020-06-10
30937,44,35,2020-06-10,2020-06-10 11:05:17,,2403,智能推荐,3,2020-06-10
30939,64,8,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,7,2020-06-10
30940,64,24,2020-06-10,2020-06-10 11:05:17,32,2402,商品推广,3,2020-06-10
30942,69,27,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,3,2020-06-10
30944,86,23,2020-06-10,2020-06-10 11:05:17,53,2402,商品推广,2,2020-06-10
30945,86,27,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,5,2020-06-10
30946,86,30,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,2,2020-06-10
30947,86,22,2020-06-10,2020-06-10 11:05:17,47,2402,商品推广,3,2020-06-10
30948,86,26,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,2,2020-06-10
30949,86,7,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,2,2020-06-10
30950,86,29,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,8,2020-06-10
30951,111,20,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,3,2020-06-10
30954,111,11,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,1,2020-06-10
30955,111,10,2020-06-10,2020-06-10 11:05:17,1,2404,促销活动,2,2020-06-10
30959,116,25,2020-06-10,2020-06-10 11:05:17,,2403,智能推荐,3,2020-06-10
30961,116,21,2020-06-10,2020-06-10 11:05:17,2,2404,促销活动,1,2020-06-10
30962,116,7,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,2,2020-06-10
30963,122,24,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,3,2020-06-10
30964,122,33,2020-06-10,2020-06-10 11:05:17,41,2402,商品推广,1,2020-06-10
30965,122,3,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,2,2020-06-10
30966,122,7,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,4,2020-06-10
30967,126,3,2020-06-10,2020-06-10 11:05:17,18,2402,商品推广,3,2020-06-10
30968,126,26,2020-06-10,2020-06-10 11:05:17,,2403,智能推荐,3,2020-06-10
30969,126,9,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,1,2020-06-10
30971,126,28,2020-06-10,2020-06-10 11:05:17,74,2402,商品推广,4,2020-06-10
30972,126,4,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,3,2020-06-10
30973,126,12,2020-06-10,2020-06-10 11:05:17,17,2402,商品推广,3,2020-06-10
30974,126,1,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,3,2020-06-10
30975,127,22,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,2,2020-06-10
30976,127,9,2020-06-10,2020-06-10 11:05:17,,2403,智能推荐,3,2020-06-10
30977,127,13,2020-06-10,2020-06-10 11:05:17,,2401,用户查询,3,2020-06-10
30978,150,34,2020-06-10,2020-06-10 11:05:17,2,2404,促销活动,4,2020-06-10
