id,order_id,user_id,sku_id,province_id,activity_id,activity_rule_id,coupon_id,payment_type_code,payment_type_name,date_id,callback_time,source_id,source_type_code,source_type_name,sku_num,split_original_amount,split_activity_amount,split_coupon_amount,split_payment_amount,dt
13106,4892,23,15,1,,,,1103,银联,2020-06-10,2020-06-10 11:05:38,40,2402,商品推广,1,4488.00,,,4488.00,2020-06-10
13107,4892,23,3,1,,,,1103,银联,2020-06-10,2020-06-10 11:05:38,,2401,用户查询,2,11998.00,,,11998.00,2020-06-10
13108,4892,23,29,1,3,5,2,1103,银联,2020-06-10,2020-06-10 11:05:38,52,2402,商品推广,3,207.00,21.00,70.00,116.00,2020-06-10
13109,4893,40,22,34,,,,1102,微信,2020-06-10,2020-06-10 11:05:38,,2401,用户查询,2,78.00,,,78.00,2020-06-10
13110,4893,40,26,34,,,1,1102,微信,2020-06-10,2020-06-10 11:05:38,,2401,用户查询,1,129.00,,30.00,99.00,2020-06-10
13111,4893,40,2,34,,,,1102,微信,2020-06-10,2020-06-10 11:05:38,,2401,用户查询,3,20997.00,,,20997.00,2020-06-10
13112,4893,40,32,34,,,,1102,微信,2020-06-10,2020-06-10 11:05:38,89,2402,商品推广,3,900.00,,,900.00,2020-06-10
13113,4894,44,11,25,1,2,,1102,微信,2020-06-10,2020-06-10 11:05:38,,2401,用户查询,3,24591.00,1200.00,,23391.00,2020-06-10
13113,4894,44,11,25,2,4,,1102,微信,2020-06-10,2020-06-10 11:05:38,,2401,用户查询,3,24591.00,1200.00,,23391.00,2020-06-10
13114,4894,44,25,25,,,,1102,微信,2020-06-10,2020-06-10 11:05:38,,2401,用户查询,2,46.00,,,46.00,2020-06-10
13115,4894,44,35,25,,,,1102,微信,2020-06-10,2020-06-10 11:05:38,,2403,智能推荐,3,16497.00,,,16497.00,2020-06-10
13116,4895,111,20,18,,,,1102,微信,2020-06-10,2020-06-10 11:05:38,,2401,用户查询,3,8697.00,,,8697.00,2020-06-10
13119,4897,23,29,27,3,5,2,1101,支付宝,2020-06-11,2020-06-11 11:07:49,52,2402,商品推广,3,207.00,21.00,70.00,116.00,2020-06-11
13120,4897,23,33,27,,,,1101,支付宝,2020-06-11,2020-06-11 11:07:49,30,2402,商品推广,3,1464.00,,,1464.00,2020-06-11
13121,4898,44,16,24,,,,1101,支付宝,2020-06-11,2020-06-11 11:07:49,,2401,用户查询,2,8976.00,,,8976.00,2020-06-11
13122,4898,44,35,24,,,,1101,支付宝,2020-06-11,2020-06-11 11:07:49,,2403,智能推荐,3,16497.00,,,16497.00,2020-06-11
13127,4901,127,22,15,,,,1101,支付宝,2020-06-11,2020-06-11 11:07:49,,2401,用户查询,1,39.00,,,39.00,2020-06-11
13128,4901,127,9,15,2,4,,1101,支付宝,2020-06-11,2020-06-11 11:07:49,,2403,智能推荐,2,16394.00,1000.00,,15394.00,2020-06-11
13129,4901,127,13,15,1,1,,1101,支付宝,2020-06-11,2020-06-11 11:07:49,,2401,用户查询,3,12564.00,500.00,,12064.00,2020-06-11
13145,4906,47,17,19,,,,1102,微信,2020-06-11,2020-06-11 11:07:49,,2401,用户查询,2,13398.00,,,13398.00,2020-06-11
13146,4907,53,21,19,,,,1103,银联,2020-06-11,2020-06-11 11:07:49,,2401,用户查询,1,3299.00,,,3299.00,2020-06-11
13147,4908,91,33,13,,,,1102,微信,2020-06-11,2020-06-11 11:07:49,,2401,用户查询,1,488.00,,,488.00,2020-06-11
13148,4909,207,7,4,,,,1101,支付宝,2020-06-11,2020-06-11 11:07:49,,2401,用户查询,3,3897.00,,,3897.00,2020-06-11
13149,4909,207,13,4,,,,1101,支付宝,2020-06-11,2020-06-11 11:07:49,1,2404,促销活动,2,8376.00,,,8376.00,2020-06-11
13150,4909,207,17,4,,,,1101,支付宝,2020-06-11,2020-06-11 11:07:49,,2401,用户查询,2,13398.00,,,13398.00,2020-06-11
13151,4910,236,21,2,,,,1102,微信,2020-06-11,2020-06-11 11:07:49,,2401,用户查询,1,3299.00,,,3299.00,2020-06-11
13156,4912,356,32,30,,,,1102,微信,2020-06-11,2020-06-11 11:07:49,,2401,用户查询,3,900.00,,,900.00,2020-06-11
13157,4912,356,1,30,,,,1102,微信,2020-06-11,2020-06-11 11:07:49,,2401,用户查询,3,17997.00,,,17997.00,2020-06-11
13158,4912,356,23,30,,,,1102,微信,2020-06-11,2020-06-11 11:07:49,,2401,用户查询,2,80.00,,,80.00,2020-06-11
13159,4912,356,30,30,,,,1102,微信,2020-06-11,2020-06-11 11:07:49,2,2404,促销活动,1,69.00,,,69.00,2020-06-11
13160,4912,356,25,30,,,,1102,微信,2020-06-11,2020-06-11 11:07:49,55,2402,商品推广,3,69.00,,,69.00,2020-06-11
13164,4914,43,9,16,2,4,,1102,微信,2020-06-12,2020-06-12 11:08:16,1,2404,促销活动,3,24591.00,500.00,,24091.00,2020-06-12
13165,4914,43,27,16,,,2,1102,微信,2020-06-12,2020-06-12 11:08:16,83,2402,商品推广,1,129.00,,23.34,105.66,2020-06-12
13165,4914,43,27,16,,,2,1102,微信,2020-06-12,2020-06-12 11:08:16,83,2402,商品推广,1,129.00,,23.34,105.66,2020-06-12
13165,4914,43,27,16,,,2,1102,微信,2020-06-12,2020-06-12 11:08:16,83,2402,商品推广,1,129.00,,23.34,105.66,2020-06-12
13166,4915,116,25,29,,,,1102,微信,2020-06-12,2020-06-12 11:08:16,,2403,智能推荐,3,69.00,,,69.00,2020-06-12
