province_id,brand,channel,is_new,model,mid_id,operate_system,user_id,version_code,page_item,page_item_type,last_page_id,page_id,source_type,date_id,view_time,session_id,during_time,dt
26,vivo,oppo,1,vivo iqoo3,mid_102912,Android 8.1,261,v2.1.132,,,,home,,2020-06-14,2020-06-14 10:58:26,mid_102912-1592103506000,3161,2020-06-14
15,Xiaomi,huawei,0,Xiaomi 10 Pro ,mid_10511,Android 11.0,38,v2.1.134,,,,home,,2020-06-14,2020-06-14 10:58:04,mid_10511-1592103484000,16760,2020-06-14
15,Xiaomi,huawei,0,Xiaomi 10 Pro ,mid_10511,Android 11.0,38,v2.1.134,,,home,search,,2020-06-14,2020-06-14 10:58:05,mid_10511-1592103484000,6060,2020-06-14
15,Xiaomi,huawei,0,Xiaomi 10 Pro ,mid_10511,Android 11.0,38,v2.1.134,图书,keyword,search,good_list,,2020-06-14,2020-06-14 10:58:06,mid_10511-1592103484000,8372,2020-06-14
15,Xiaomi,huawei,0,Xiaomi 10 Pro ,mid_10511,Android 11.0,38,v2.1.134,30,sku_id,good_list,good_detail,promotion,2020-06-14,2020-06-14 10:58:07,mid_10511-1592103484000,18396,2020-06-14
15,Xiaomi,huawei,0,Xiaomi 10 Pro ,mid_10511,Android 11.0,38,v2.1.134,,,good_detail,login,,2020-06-14,2020-06-14 10:58:08,mid_10511-1592103484000,3973,2020-06-14
15,Xiaomi,huawei,0,Xiaomi 10 Pro ,mid_10511,Android 11.0,38,v2.1.134,26,sku_id,login,good_detail,query,2020-06-14,2020-06-14 10:58:09,mid_10511-1592103484000,11022,2020-06-14
15,Xiaomi,huawei,0,Xiaomi 10 Pro ,mid_10511,Android 11.0,38,v2.1.134,,,good_detail,cart,,2020-06-14,2020-06-14 10:58:10,mid_10511-1592103484000,8241,2020-06-14
15,Xiaomi,huawei,0,Xiaomi 10 Pro ,mid_10511,Android 11.0,38,v2.1.134,"6,23,8",sku_ids,cart,trade,,2020-06-14,2020-06-14 10:58:11,mid_10511-1592103484000,16521,2020-06-14
15,Xiaomi,huawei,0,Xiaomi 10 Pro ,mid_10511,Android 11.0,38,v2.1.134,"20,22",sku_ids,trade,payment,,2020-06-14,2020-06-14 10:58:12,mid_10511-1592103484000,14874,2020-06-14
