user_id,order_count_7d,order_num_7d,order_original_amount_7d,activity_reduce_amount_7d,coupon_reduce_amount_7d,order_total_amount_7d,order_count_30d,order_num_30d,order_original_amount_30d,activity_reduce_amount_30d,coupon_reduce_amount_30d,order_total_amount_30d,dt
1837,1,14,72820.00,2218.15,0.00,70601.85,1,14,72820.00,2218.15,0.00,70601.85,2020-06-14
20,1,9,22281.00,0.00,70.02,22210.98,1,9,22281.00,0.00,70.02,22210.98,2020-06-14
1660,1,2,600.00,0.00,0.00,600.00,1,2,600.00,0.00,0.00,600.00,2020-06-14
339,1,3,13464.00,0.00,0.00,13464.00,1,3,13464.00,0.00,0.00,13464.00,2020-06-14
68,1,17,41344.00,107.00,100.00,41137.00,1,17,41344.00,107.00,100.00,41137.00,2020-06-14
70,1,1,2899.00,0.00,0.00,2899.00,1,1,2899.00,0.00,0.00,2899.00,2020-06-14
1236,1,9,29620.00,20.90,0.00,29599.10,1,9,29620.00,20.90,0.00,29599.10,2020-06-14
1596,1,13,32544.00,239.00,0.00,32305.00,1,13,32544.00,239.00,0.00,32305.00,2020-06-14
830,1,15,86697.00,1680.00,0.00,85017.00,1,15,86697.00,1680.00,0.00,85017.00,2020-06-14
103,1,2,138.00,0.00,0.00,138.00,1,2,138.00,0.00,0.00,138.00,2020-06-14
1032,1,1,2899.00,0.00,0.00,2899.00,1,1,2899.00,0.00,0.00,2899.00,2020-06-14
1116,1,1,39.00,0.00,0.00,39.00,1,1,39.00,0.00,0.00,39.00,2020-06-14
1177,1,3,387.00,39.00,0.00,348.00,1,3,387.00,39.00,0.00,348.00,2020-06-14
1860,1,11,29864.00,105.00,0.00,29759.00,1,11,29864.00,105.00,0.00,29759.00,2020-06-14
596,1,4,24720.00,500.00,0.00,24220.00,1,4,24720.00,500.00,0.00,24220.00,2020-06-14
133,1,2,18398.00,0.00,0.00,18398.00,1,2,18398.00,0.00,0.00,18398.00,2020-06-14
268,1,16,66152.00,2544.25,0.00,63607.75,1,16,66152.00,2544.25,0.00,63607.75,2020-06-14
1095,1,12,93175.00,1713.50,0.00,91461.50,1,12,93175.00,1713.50,0.00,91461.50,2020-06-14
653,1,19,86976.00,500.00,0.00,86476.00,1,19,86976.00,500.00,0.00,86476.00,2020-06-14
156,1,2,138.00,0.00,0.00,138.00,1,2,138.00,0.00,0.00,138.00,2020-06-14
1529,1,7,23432.00,200.00,0.00,23232.00,1,7,23432.00,200.00,0.00,23232.00,2020-06-14
10,1,9,621.00,63.00,100.02,457.98,1,9,621.00,63.00,100.02,457.98,2020-06-14
416,1,6,56994.00,0.00,0.00,56994.00,1,6,56994.00,0.00,0.00,56994.00,2020-06-14
319,1,3,12564.00,0.00,0.00,12564.00,1,3,12564.00,0.00,0.00,12564.00,2020-06-14
1293,1,4,7485.00,0.00,0.00,7485.00,1,4,7485.00,0.00,0.00,7485.00,2020-06-14
1589,1,3,387.00,39.00,0.00,348.00,1,3,387.00,39.00,0.00,348.00,2020-06-14
2533,1,1,11.00,0.00,0.00,11.00,1,1,11.00,0.00,0.00,11.00,2020-06-14
810,1,14,98152.00,2400.00,0.00,95752.00,1,14,98152.00,2400.00,0.00,95752.00,2020-06-14
2562,1,5,9363.00,39.00,0.00,9324.00,1,5,9363.00,39.00,0.00,9324.00,2020-06-14
2111,1,13,40925.00,0.00,0.00,40925.00,1,13,40925.00,0.00,0.00,40925.00,2020-06-14
377,1,5,37995.00,0.00,0.00,37995.00,1,5,37995.00,0.00,0.00,37995.00,2020-06-14
1504,1,2,1998.00,0.00,0.00,1998.00,1,2,1998.00,0.00,0.00,1998.00,2020-06-14
1241,1,3,16497.00,0.00,0.00,16497.00,1,3,16497.00,0.00,0.00,16497.00,2020-06-14
1820,1,1,5499.00,0.00,0.00,5499.00,1,1,5499.00,0.00,0.00,5499.00,2020-06-14
1001,1,11,3608.00,105.00,0.00,3503.00,1,11,3608.00,105.00,0.00,3503.00,2020-06-14
2826,1,9,52458.00,0.00,0.00,52458.00,1,9,52458.00,0.00,0.00,52458.00,2020-06-14
1475,1,10,53721.00,500.00,0.00,53221.00,1,10,53721.00,500.00,0.00,53221.00,2020-06-14
849,1,6,4284.00,39.00,0.00,4245.00,1,6,4284.00,39.00,0.00,4245.00,2020-06-14
2216,1,10,3270.00,134.00,0.00,3136.00,1,10,3270.00,134.00,0.00,3136.00,2020-06-14
2344,1,1,69.00,0.00,0.00,69.00,1,1,69.00,0.00,0.00,69.00,2020-06-14
784,1,7,20271.00,0.00,0.00,20271.00,1,7,20271.00,0.00,0.00,20271.00,2020-06-14
1612,1,10,32591.00,200.00,0.00,32391.00,1,10,32591.00,200.00,0.00,32391.00,2020-06-14
2066,1,3,120.00,0.00,0.00,120.00,1,3,120.00,0.00,0.00,120.00,2020-06-14
109,1,19,61058.00,582.00,0.00,60476.00,1,19,61058.00,582.00,0.00,60476.00,2020-06-14
550,1,11,27376.00,200.00,0.00,27176.00,1,11,27376.00,200.00,0.00,27176.00,2020-06-14
1637,1,8,46546.00,200.00,0.00,46346.00,1,8,46546.00,200.00,0.00,46346.00,2020-06-14
504,1,7,6339.00,39.00,0.00,6300.00,1,7,6339.00,39.00,0.00,6300.00,2020-06-14
775,1,3,4626.00,0.00,0.00,4626.00,1,3,4626.00,0.00,0.00,4626.00,2020-06-14
1564,1,3,12564.00,0.00,0.00,12564.00,1,3,12564.00,0.00,0.00,12564.00,2020-06-14
2168,1,5,24365.00,0.00,0.00,24365.00,1,5,24365.00,0.00,0.00,24365.00,2020-06-14
1090,1,3,12564.00,0.00,0.00,12564.00,1,3,12564.00,0.00,0.00,12564.00,2020-06-14
1950,1,5,24255.00,0.00,0.00,24255.00,1,5,24255.00,0.00,0.00,24255.00,2020-06-14
2745,1,8,9900.00,105.00,0.00,9795.00,1,8,9900.00,105.00,0.00,9795.00,2020-06-14
426,1,4,17780.00,0.00,0.00,17780.00,1,4,17780.00,0.00,0.00,17780.00,2020-06-14
1368,1,16,82603.00,2684.09,0.00,79918.91,1,16,82603.00,2684.09,0.00,79918.91,2020-06-14
1068,1,3,3897.00,0.00,0.00,3897.00,1,3,3897.00,0.00,0.00,3897.00,2020-06-14
362,1,7,33860.00,0.00,0.00,33860.00,1,7,33860.00,0.00,0.00,33860.00,2020-06-14
441,1,19,73847.00,2421.00,0.00,71426.00,1,19,73847.00,2421.00,0.00,71426.00,2020-06-14
1023,1,4,27890.00,500.00,0.00,27390.00,1,4,27890.00,500.00,0.00,27390.00,2020-06-14
274,1,6,14692.00,200.00,0.00,14492.00,1,6,14692.00,200.00,0.00,14492.00,2020-06-14
1353,1,1,9199.00,0.00,0.00,9199.00,1,1,9199.00,0.00,0.00,9199.00,2020-06-14
401,1,3,10173.00,200.00,0.00,9973.00,1,3,10173.00,200.00,0.00,9973.00,2020-06-14
1491,1,3,11227.00,0.00,0.00,11227.00,1,3,11227.00,0.00,0.00,11227.00,2020-06-14
478,1,20,65265.00,1500.00,0.00,63765.00,1,20,65265.00,1500.00,0.00,63765.00,2020-06-14
2377,1,5,5889.00,0.00,0.00,5889.00,1,5,5889.00,0.00,0.00,5889.00,2020-06-14
173,1,4,22235.00,200.00,0.00,22035.00,1,4,22235.00,200.00,0.00,22035.00,2020-06-14
152,1,5,35451.00,0.00,0.00,35451.00,1,5,35451.00,0.00,0.00,35451.00,2020-06-14
372,1,17,53097.00,2400.00,0.00,50697.00,1,17,53097.00,2400.00,0.00,50697.00,2020-06-14
2728,1,5,28691.00,500.00,0.00,28191.00,1,5,28691.00,500.00,0.00,28191.00,2020-06-14
9,1,7,21513.00,0.00,100.00,21413.00,1,7,21513.00,0.00,100.00,21413.00,2020-06-14
2107,1,2,1998.00,0.00,0.00,1998.00,1,2,1998.00,0.00,0.00,1998.00,2020-06-14
1206,1,8,26678.00,539.00,0.00,26139.00,1,8,26678.00,539.00,0.00,26139.00,2020-06-14
716,1,13,72543.00,2439.00,0.00,70104.00,1,13,72543.00,2439.00,0.00,70104.00,2020-06-14
1244,1,2,10998.00,0.00,0.00,10998.00,1,2,10998.00,0.00,0.00,10998.00,2020-06-14
2896,1,7,22416.00,500.00,0.00,21916.00,1,7,22416.00,500.00,0.00,21916.00,2020-06-14
324,1,5,2385.00,39.00,0.00,2346.00,1,5,2385.00,39.00,0.00,2346.00,2020-06-14
210,1,13,40280.00,2518.00,0.00,37762.00,1,13,40280.00,2518.00,0.00,37762.00,2020-06-14
301,1,7,393.00,27.90,0.00,365.10,1,7,393.00,27.90,0.00,365.10,2020-06-14
101,1,21,106830.00,2400.00,0.00,104430.00,1,21,106830.00,2400.00,0.00,104430.00,2020-06-14
2013,1,4,23172.00,200.00,0.00,22972.00,1,4,23172.00,200.00,0.00,22972.00,2020-06-14
44,3,35,182417.00,4320.00,0.00,178097.00,3,35,182417.00,4320.00,0.00,178097.00,2020-06-14
2563,1,9,41428.00,0.00,0.00,41428.00,1,9,41428.00,0.00,0.00,41428.00,2020-06-14
906,1,8,15487.00,232.90,0.00,15254.10,1,8,15487.00,232.90,0.00,15254.10,2020-06-14
645,1,15,35338.00,228.00,0.00,35110.00,1,15,35338.00,228.00,0.00,35110.00,2020-06-14
1732,1,1,4188.00,0.00,0.00,4188.00,1,1,4188.00,0.00,0.00,4188.00,2020-06-14
1570,1,8,17280.00,21.00,0.00,17259.00,1,8,17280.00,21.00,0.00,17259.00,2020-06-14
792,1,7,1065.00,93.00,0.00,972.00,1,7,1065.00,93.00,0.00,972.00,2020-06-14
126,1,13,76305.00,2400.00,0.00,73905.00,1,13,76305.00,2400.00,0.00,73905.00,2020-06-14
469,2,27,138852.00,2131.26,0.00,136720.74,2,27,138852.00,2131.26,0.00,136720.74,2020-06-14
2803,1,8,34392.00,0.00,0.00,34392.00,1,8,34392.00,0.00,0.00,34392.00,2020-06-14
1041,1,21,135597.00,1650.00,0.00,133947.00,1,21,135597.00,1650.00,0.00,133947.00,2020-06-14
2048,1,6,24848.00,2153.78,0.00,22694.22,1,6,24848.00,2153.78,0.00,22694.22,2020-06-14
2110,1,8,8362.00,93.00,0.00,8269.00,1,8,8362.00,93.00,0.00,8269.00,2020-06-14
1555,1,6,21204.00,21.00,0.00,21183.00,1,6,21204.00,21.00,0.00,21183.00,2020-06-14
701,1,3,13464.00,0.00,0.00,13464.00,1,3,13464.00,0.00,0.00,13464.00,2020-06-14
1211,1,4,13533.00,0.00,0.00,13533.00,1,4,13533.00,0.00,0.00,13533.00,2020-06-14
1649,1,1,69.00,0.00,0.00,69.00,1,1,69.00,0.00,0.00,69.00,2020-06-14
1928,1,3,207.00,21.00,0.00,186.00,1,3,207.00,21.00,0.00,186.00,2020-06-14
713,1,1,6699.00,0.00,0.00,6699.00,1,1,6699.00,0.00,0.00,6699.00,2020-06-14
1882,1,3,12564.00,0.00,0.00,12564.00,1,3,12564.00,0.00,0.00,12564.00,2020-06-14
1379,1,5,26291.00,500.00,0.00,25791.00,1,5,26291.00,500.00,0.00,25791.00,2020-06-14
105,1,4,38894.00,200.00,0.00,38694.00,1,4,38894.00,200.00,0.00,38694.00,2020-06-14
166,1,19,103628.00,2400.00,0.00,101228.00,1,19,103628.00,2400.00,0.00,101228.00,2020-06-14
1979,1,3,27597.00,0.00,0.00,27597.00,1,3,27597.00,0.00,0.00,27597.00,2020-06-14
21,1,15,25525.00,186.00,100.00,25239.00,1,15,25525.00,186.00,100.00,25239.00,2020-06-14
570,1,27,96055.00,346.00,0.00,95709.00,1,27,96055.00,346.00,0.00,95709.00,2020-06-14
1126,1,7,37089.00,500.00,0.00,36589.00,1,7,37089.00,500.00,0.00,36589.00,2020-06-14
561,2,25,81835.00,529.00,0.00,81306.00,2,25,81835.00,529.00,0.00,81306.00,2020-06-14
1029,1,8,16932.00,552.00,0.00,16380.00,1,8,16932.00,552.00,0.00,16380.00,2020-06-14
595,1,9,53658.00,0.00,0.00,53658.00,1,9,53658.00,0.00,0.00,53658.00,2020-06-14
555,1,11,46546.00,500.00,0.00,46046.00,1,11,46546.00,500.00,0.00,46046.00,2020-06-14
2031,1,11,73437.00,2400.00,0.00,71037.00,1,11,73437.00,2400.00,0.00,71037.00,2020-06-14
84,1,2,6598.00,0.00,0.00,6598.00,1,2,6598.00,0.00,0.00,6598.00,2020-06-14
1471,1,7,27641.00,0.00,0.00,27641.00,1,7,27641.00,0.00,0.00,27641.00,2020-06-14
236,2,7,7691.00,0.00,0.00,7691.00,2,7,7691.00,0.00,0.00,7691.00,2020-06-14
139,1,8,25718.00,200.00,0.00,25518.00,1,8,25718.00,200.00,0.00,25518.00,2020-06-14
2272,1,8,25478.00,539.00,0.00,24939.00,1,8,25478.00,539.00,0.00,24939.00,2020-06-14
131,1,1,1299.00,0.00,0.00,1299.00,1,1,1299.00,0.00,0.00,1299.00,2020-06-14
410,1,23,44126.00,21.00,0.00,44105.00,1,23,44126.00,21.00,0.00,44105.00,2020-06-14
1974,1,6,14964.00,0.00,0.00,14964.00,1,6,14964.00,0.00,0.00,14964.00,2020-06-14
371,2,8,38381.00,2400.00,0.00,35981.00,2,8,38381.00,2400.00,0.00,35981.00,2020-06-14
510,1,6,2931.00,0.00,0.00,2931.00,1,6,2931.00,0.00,0.00,2931.00,2020-06-14
1913,1,5,11103.00,0.00,0.00,11103.00,1,5,11103.00,0.00,0.00,11103.00,2020-06-14
528,1,15,65507.00,500.00,0.00,65007.00,1,15,65507.00,500.00,0.00,65007.00,2020-06-14
494,1,5,32695.00,0.00,0.00,32695.00,1,5,32695.00,0.00,0.00,32695.00,2020-06-14
74,1,45,57217.00,584.00,100.00,56533.00,1,45,57217.00,584.00,100.00,56533.00,2020-06-14
1265,1,2,258.00,0.00,0.00,258.00,1,2,258.00,0.00,0.00,258.00,2020-06-14
2267,1,29,115776.00,2529.00,0.00,113247.00,1,29,115776.00,2529.00,0.00,113247.00,2020-06-14
705,1,12,22020.00,0.00,0.00,22020.00,1,12,22020.00,0.00,0.00,22020.00,2020-06-14
1994,1,3,6957.00,0.00,0.00,6957.00,1,3,6957.00,0.00,0.00,6957.00,2020-06-14
271,1,9,26701.00,21.00,0.00,26680.00,1,9,26701.00,21.00,0.00,26680.00,2020-06-14
647,1,10,33146.00,0.00,0.00,33146.00,1,10,33146.00,0.00,0.00,33146.00,2020-06-14
817,1,3,14897.00,0.00,0.00,14897.00,1,3,14897.00,0.00,0.00,14897.00,2020-06-14
1897,1,1,300.00,0.00,0.00,300.00,1,1,300.00,0.00,0.00,300.00,2020-06-14
43,1,6,24978.00,500.00,70.02,24407.98,1,6,24978.00,500.00,70.02,24407.98,2020-06-14
1968,1,4,20396.00,0.00,0.00,20396.00,1,4,20396.00,0.00,0.00,20396.00,2020-06-14
