user_id,sku_id,sku_name,category1_id,category1_name,category2_id,category2_name,category3_id,category3_name,tm_id,tm_name,order_count_7d,order_num_7d,order_original_amount_7d,activity_reduce_amount_7d,coupon_reduce_amount_7d,order_total_amount_7d,order_count_30d,order_num_30d,order_original_amount_30d,activity_reduce_amount_30d,coupon_reduce_amount_30d,order_total_amount_30d,dt
864,10,Apple iPhone 12 (A2404) 64GB 蓝色 支持移动联通电信5G 双卡双待手机,2,手机,13,手机通讯,61,手机,2,苹果,1,2,16394.00,500.00,0.00,15894.00,1,2,16394.00,500.00,0.00,15894.00,2020-06-14
706,30,CAREMiLLE珂曼奶油小方口红 雾面滋润保湿持久丝缎唇膏 M02干玫瑰,8,个护化妆,54,香水彩妆,477,唇部,9,CAREMiLLE,1,2,138.00,0.00,0.00,138.00,1,2,138.00,0.00,0.00,138.00,2020-06-14
379,11,Apple iPhone 12 (A2404) 64GB 白色 支持移动联通电信5G 双卡双待手机,2,手机,13,手机通讯,61,手机,2,苹果,1,1,8197.00,200.00,0.00,7997.00,1,1,8197.00,200.00,0.00,7997.00,2020-06-14
777,22,十月稻田 长粒香大米 东北大米 东北香米 5kg,14,食品饮料、保健食品,82,粮油调味,803,米面杂粮,6,长粒香,1,1,39.00,0.00,0.00,39.00,1,1,39.00,0.00,0.00,39.00,2020-06-14
748,1,小米10 至尊纪念版 双模5G 骁龙865 120HZ高刷新率 120倍长焦镜头 120W快充 8GB+128GB 陶瓷黑 游戏手机,2,手机,13,手机通讯,61,手机,1,三星,1,1,5999.00,0.00,0.00,5999.00,1,1,5999.00,0.00,0.00,5999.00,2020-06-14
74,24,金沙河面条 原味银丝挂面 龙须面 方便速食拉面 清汤面 900g,14,食品饮料、保健食品,82,粮油调味,803,米面杂粮,7,金沙河,1,2,22.00,0.00,0.00,22.00,1,2,22.00,0.00,0.00,22.00,2020-06-14
716,11,Apple iPhone 12 (A2404) 64GB 白色 支持移动联通电信5G 双卡双待手机,2,手机,13,手机通讯,61,手机,2,苹果,2,6,49182.00,2400.00,0.00,46782.00,2,6,49182.00,2400.00,0.00,46782.00,2020-06-14
362,21,小米电视4A 70英寸 4K超高清 HDR 二级能效 2GB+16GB L70M5-4A 内置小爱 智能网络液晶平板教育电视,3,家用电器,16,大 家 电,86,平板电视,5,小米,1,1,3299.00,0.00,0.00,3299.00,1,1,3299.00,0.00,0.00,3299.00,2020-06-14
528,35,华为智慧屏V65i 65英寸 HEGE-560B 4K全面屏智能电视机 多方视频通话 AI升降摄像头 4GB+32GB 星际黑,3,家用电器,16,大 家 电,86,平板电视,3,华为,1,5,27495.00,0.00,0.00,27495.00,1,5,27495.00,0.00,0.00,27495.00,2020-06-14
118,1,小米10 至尊纪念版 双模5G 骁龙865 120HZ高刷新率 120倍长焦镜头 120W快充 8GB+128GB 陶瓷黑 游戏手机,2,手机,13,手机通讯,61,手机,1,三星,1,1,5999.00,0.00,0.00,5999.00,1,1,5999.00,0.00,0.00,5999.00,2020-06-14
