dt,recent_days,province_id,province_name,area_code,iso_code,iso_code_3166_2,order_count,order_total_amount
2020-06-14,1,17,辽宁,210000,CN-21,CN-LN,10,213415.00
2020-06-14,30,25,湖南,430000,CN-43,CN-HN,11,360426.00
2020-06-14,1,15,黑龙江,230000,CN-23,CN-HL,12,394292.00
2020-06-14,30,6,上海,310000,CN-31,CN-SH,13,311049.00
2020-06-14,1,26,广东,440000,CN-44,CN-GD,13,191041.70
2020-06-14,7,16,吉林,220000,CN-22,CN-JL,13,188439.68
2020-06-14,7,27,广西,450000,CN-45,CN-GX,15,292857.32
2020-06-14,30,17,辽宁,210000,CN-21,CN-LN,13,245010.00
2020-06-14,1,12,山东,370000,CN-37,CN-SD,14,431943.81
2020-06-14,7,19,甘肃,620000,CN-62,CN-GS,11,353641.48
2020-06-14,30,28,海南,460000,CN-46,CN-HI,20,507580.00
2020-06-14,7,29,香港,810000,CN-91,CN-HK,9,279264.91
2020-06-14,30,24,湖北,420000,CN-42,CN-HB,19,529141.70
2020-06-14,30,27,广西,450000,CN-45,CN-GX,15,292857.32
2020-06-14,30,4,内蒙古,150000,CN-15,CN-NM,13,178017.10
2020-06-14,30,31,四川,510000,CN-51,CN-SC,8,372521.98
2020-06-14,30,34,西藏,540000,CN-54,CN-XZ,10,335718.29
2020-06-14,7,5,河北,130000,CN-13,CN-HE,14,346437.85
2020-06-14,1,1,北京,110000,CN-11,CN-BJ,7,178380.10
2020-06-14,1,9,安徽,340000,CN-34,CN-AH,12,404274.76
2020-06-14,1,20,青海,630000,CN-63,CN-QH,14,380859.88
2020-06-14,7,18,陕西,610000,CN-61,CN-SN,8,126396.10
2020-06-14,1,24,湖北,420000,CN-42,CN-HB,14,459650.70
2020-06-14,30,16,吉林,220000,CN-22,CN-JL,13,188439.68
2020-06-14,1,34,西藏,540000,CN-54,CN-XZ,7,293237.29
2020-06-14,7,1,北京,110000,CN-11,CN-BJ,11,243330.10
2020-06-14,1,30,澳门,820000,CN-92,CN-MO,11,245770.20
2020-06-14,1,27,广西,450000,CN-45,CN-GX,11,264290.32
2020-06-14,1,14,台湾,710000,CN-71,CN-TW,7,391500.56
2020-06-14,30,33,云南,530000,CN-53,CN-YN,10,214192.68
2020-06-14,30,8,浙江,330000,CN-33,CN-ZJ,15,287114.74
2020-06-14,7,10,福建,350000,CN-35,CN-FJ,24,616590.85
2020-06-14,7,9,安徽,340000,CN-34,CN-AH,12,404274.76
2020-06-14,1,11,江西,360000,CN-36,CN-JX,7,254370.00
2020-06-14,1,29,香港,810000,CN-91,CN-HK,7,274897.91
2020-06-14,30,26,广东,440000,CN-44,CN-GD,14,231808.70
2020-06-14,1,25,湖南,430000,CN-43,CN-HN,9,292709.00
2020-06-14,1,32,贵州,520000,CN-52,CN-GZ,14,323242.00
2020-06-14,7,23,河南,410000,CN-41,CN-HA,9,151313.10
2020-06-14,30,2,天津,120000,CN-12,CN-TJ,13,431566.00
2020-06-14,7,26,广东,440000,CN-44,CN-GD,14,231808.70
2020-06-14,7,21,宁夏,640000,CN-64,CN-NX,19,398496.08
2020-06-14,1,23,河南,410000,CN-41,CN-HA,7,136769.00
2020-06-14,7,11,江西,360000,CN-36,CN-JX,9,328472.00
2020-06-14,7,31,四川,510000,CN-51,CN-SC,8,372521.98
2020-06-14,7,24,湖北,420000,CN-42,CN-HB,19,529141.70
2020-06-14,30,18,陕西,610000,CN-61,CN-SN,8,126396.10
2020-06-14,1,21,宁夏,640000,CN-64,CN-NX,11,264842.10
2020-06-14,7,32,贵州,520000,CN-52,CN-GZ,15,326564.00
2020-06-14,7,6,上海,310000,CN-31,CN-SH,13,311049.00
2020-06-14,30,7,江苏,320000,CN-32,CN-JS,14,515569.98
2020-06-14,30,1,北京,110000,CN-11,CN-BJ,11,243330.10
2020-06-14,30,9,安徽,340000,CN-34,CN-AH,12,404274.76
2020-06-14,30,22,新疆,650000,CN-65,CN-XJ,16,593151.39
2020-06-14,1,7,江苏,320000,CN-32,CN-JS,11,481891.00
2020-06-14,1,28,海南,460000,CN-46,CN-HI,17,418225.00
2020-06-14,1,31,四川,510000,CN-51,CN-SC,6,329633.00
2020-06-14,1,10,福建,350000,CN-35,CN-FJ,22,561965.85
2020-06-14,30,19,甘肃,620000,CN-62,CN-GS,11,353641.48
2020-06-14,1,2,天津,120000,CN-12,CN-TJ,12,428267.00
2020-06-14,1,22,新疆,650000,CN-65,CN-XJ,15,593013.39
2020-06-14,1,16,吉林,220000,CN-22,CN-JL,10,138951.70
2020-06-14,30,3,山西,140000,CN-14,CN-SX,12,327471.85
2020-06-14,30,21,宁夏,640000,CN-64,CN-NX,19,398496.08
2020-06-14,7,33,云南,530000,CN-53,CN-YN,10,214192.68
2020-06-14,7,2,天津,120000,CN-12,CN-TJ,13,431566.00
2020-06-14,7,13,重庆,500000,CN-50,CN-CQ,21,562733.95
2020-06-14,30,30,澳门,820000,CN-92,CN-MO,14,310571.20
2020-06-14,30,13,重庆,500000,CN-50,CN-CQ,21,562733.95
2020-06-14,30,32,贵州,520000,CN-52,CN-GZ,15,326564.00
2020-06-14,30,15,黑龙江,230000,CN-23,CN-HL,15,455683.00
2020-06-14,7,4,内蒙古,150000,CN-15,CN-NM,13,178017.10
2020-06-14,7,22,新疆,650000,CN-65,CN-XJ,16,593151.39
2020-06-14,1,13,重庆,500000,CN-50,CN-CQ,16,507611.95
2020-06-14,30,12,山东,370000,CN-37,CN-SD,18,471571.79
2020-06-14,7,12,山东,370000,CN-37,CN-SD,18,471571.79
2020-06-14,30,10,福建,350000,CN-35,CN-FJ,24,616590.85
2020-06-14,7,30,澳门,820000,CN-92,CN-MO,14,310571.20
2020-06-14,7,7,江苏,320000,CN-32,CN-JS,14,515569.98
2020-06-14,7,3,山西,140000,CN-14,CN-SX,12,327471.85
2020-06-14,1,33,云南,530000,CN-53,CN-YN,9,191981.70
2020-06-14,30,20,青海,630000,CN-63,CN-QH,17,554404.88
2020-06-14,7,14,台湾,710000,CN-71,CN-TW,8,432112.54
2020-06-14,1,6,上海,310000,CN-31,CN-SH,11,292303.00
2020-06-14,1,18,陕西,610000,CN-61,CN-SN,7,117699.10
2020-06-14,1,19,甘肃,620000,CN-62,CN-GS,9,336944.48
2020-06-14,30,11,江西,360000,CN-36,CN-JX,9,328472.00
2020-06-14,7,15,黑龙江,230000,CN-23,CN-HL,15,455683.00
2020-06-14,30,5,河北,130000,CN-13,CN-HE,14,346437.85
2020-06-14,7,25,湖南,430000,CN-43,CN-HN,11,360426.00
2020-06-14,7,8,浙江,330000,CN-33,CN-ZJ,15,287114.74
2020-06-14,1,3,山西,140000,CN-14,CN-SX,11,285736.85
2020-06-14,7,17,辽宁,210000,CN-21,CN-LN,13,245010.00
2020-06-14,1,8,浙江,330000,CN-33,CN-ZJ,12,271095.74
2020-06-14,7,34,西藏,540000,CN-54,CN-XZ,10,335718.29
2020-06-14,1,4,内蒙古,150000,CN-15,CN-NM,10,105358.10
2020-06-14,7,20,青海,630000,CN-63,CN-QH,17,554404.88
2020-06-14,30,14,台湾,710000,CN-71,CN-TW,8,432112.54
2020-06-14,30,23,河南,410000,CN-41,CN-HA,9,151313.10
2020-06-14,1,5,河北,130000,CN-13,CN-HE,14,346437.85
2020-06-14,30,29,香港,810000,CN-91,CN-HK,9,279264.91
2020-06-14,7,28,海南,460000,CN-46,CN-HI,20,507580.00
