id,coupon_id,user_id,order_id,date_id,payment_time,dt
45737,1,40,4893,2020-06-10,2020-06-10 11:05:18,2020-06-10
45820,2,23,4892,2020-06-10,2020-06-10 11:05:18,2020-06-10
46120,2,23,4897,2020-06-11,2020-06-11 11:07:29,2020-06-11
45813,2,16,4918,2020-06-12,2020-06-12 11:07:56,2020-06-12
45817,2,20,4925,2020-06-12,2020-06-12 11:07:56,2020-06-12
45840,2,43,4914,2020-06-12,2020-06-12 11:07:56,2020-06-12
45853,2,56,4919,2020-06-12,2020-06-12 11:07:56,2020-06-12
45895,2,98,4927,2020-06-12,2020-06-12 11:07:56,2020-06-12
45907,3,10,4923,2020-06-12,2020-06-12 11:07:56,2020-06-12
45968,3,71,4920,2020-06-12,2020-06-12 11:07:56,2020-06-12
46113,2,16,4918,2020-06-12,2020-06-12 11:07:56,2020-06-12
46117,2,20,4925,2020-06-12,2020-06-12 11:07:56,2020-06-12
46140,2,43,4914,2020-06-12,2020-06-12 11:07:56,2020-06-12
46153,2,56,4919,2020-06-12,2020-06-12 11:07:56,2020-06-12
46195,2,98,4927,2020-06-12,2020-06-12 11:07:56,2020-06-12
46207,3,10,4923,2020-06-12,2020-06-12 11:07:56,2020-06-12
46268,3,71,4920,2020-06-12,2020-06-12 11:07:56,2020-06-12
46413,2,16,4918,2020-06-12,2020-06-12 11:07:56,2020-06-12
46417,2,20,4925,2020-06-12,2020-06-12 11:07:56,2020-06-12
46440,2,43,4914,2020-06-12,2020-06-12 11:07:56,2020-06-12
46453,2,56,4919,2020-06-12,2020-06-12 11:07:56,2020-06-12
46495,2,98,4927,2020-06-12,2020-06-12 11:07:56,2020-06-12
46507,3,10,4923,2020-06-12,2020-06-12 11:07:56,2020-06-12
46568,3,71,4920,2020-06-12,2020-06-12 11:07:56,2020-06-12
45995,3,98,4955,2020-06-13,2020-06-13 11:08:16,2020-06-13
46295,3,98,4955,2020-06-13,2020-06-13 11:08:16,2020-06-13
46595,3,98,4955,2020-06-13,2020-06-13 11:08:16,2020-06-13
46895,3,98,4955,2020-06-13,2020-06-13 11:08:16,2020-06-13
45922,3,25,6926,2020-06-14,2020-06-14 17:23:23,2020-06-14
46222,3,25,6926,2020-06-14,2020-06-14 17:23:23,2020-06-14
46522,3,25,6926,2020-06-14,2020-06-14 17:23:23,2020-06-14
46822,3,25,6926,2020-06-14,2020-06-14 17:23:23,2020-06-14
46868,3,71,6878,2020-06-14,2020-06-14 17:23:23,2020-06-14
