province_id,brand,channel,is_new,model,mid_id,operate_system,user_id,version_code,during_time,page_item,page_item_type,last_page_id,page_id,source_type,action_id,action_item,action_item_type,date_id,action_time,dt
15,Redmi,vivo,0,Redmi k30,mid_21352,Android 11.0,606,v2.1.134,7453,26,sku_id,home,good_detail,activity,get_coupon,3,coupon_id,2020-06-14,2020-06-14 10:57:56,2020-06-14
1,Xiaomi,xiaomi,1,Xiaomi Mix2 ,mid_756104,Android 11.0,443,v2.1.134,6583,8,sku_id,good_list,good_detail,promotion,cart_add,8,sku_id,2020-06-14,2020-06-14 10:57:58,2020-06-14
1,Xiaomi,xiaomi,1,Xiaomi Mix2 ,mid_756104,Android 11.0,443,v2.1.134,7815,23,sku_id,login,good_detail,promotion,get_coupon,3,coupon_id,2020-06-14,2020-06-14 10:58:00,2020-06-14
1,Xiaomi,xiaomi,1,Xiaomi Mix2 ,mid_756104,Android 11.0,443,v2.1.134,3361,31,sku_ids,cart,trade,,trade_add_address,,,2020-06-14,2020-06-14 10:58:00,2020-06-14
15,Xiaomi,web,0,Xiaomi 10 Pro ,mid_869416,Android 11.0,467,v2.1.134,4617,2,sku_id,good_list,good_detail,query,get_coupon,2,coupon_id,2020-06-14,2020-06-14 10:57:59,2020-06-14
15,Xiaomi,web,0,Xiaomi 10 Pro ,mid_869416,Android 11.0,467,v2.1.134,5882,3,sku_id,register,good_detail,query,cart_add,3,sku_id,2020-06-14,2020-06-14 10:58:02,2020-06-14
26,Sumsung,xiaomi,0,Sumsung Galaxy S20,mid_734067,Android 11.0,923,v2.1.134,18448,29,sku_id,home,good_detail,query,favor_add,29,sku_id,2020-06-14,2020-06-14 10:58:00,2020-06-14
26,Sumsung,xiaomi,0,Sumsung Galaxy S20,mid_734067,Android 11.0,923,v2.1.134,18448,29,sku_id,home,good_detail,query,cart_add,29,sku_id,2020-06-14,2020-06-14 10:58:05,2020-06-14
26,Sumsung,xiaomi,0,Sumsung Galaxy S20,mid_734067,Android 11.0,923,v2.1.134,18448,29,sku_id,home,good_detail,query,get_coupon,2,coupon_id,2020-06-14,2020-06-14 10:58:09,2020-06-14
1,iPhone,Appstore,0,iPhone Xs,mid_6527,iOS 13.3.1,859,v2.1.134,17391,3,sku_id,good_list,good_detail,recommend,favor_add,3,sku_id,2020-06-14,2020-06-14 10:58:03,2020-06-14
1,iPhone,Appstore,0,iPhone Xs,mid_6527,iOS 13.3.1,859,v2.1.134,17391,3,sku_id,good_list,good_detail,recommend,cart_add,3,sku_id,2020-06-14,2020-06-14 10:58:09,2020-06-14
1,iPhone,Appstore,0,iPhone Xs,mid_6527,iOS 13.3.1,859,v2.1.134,7627,15,sku_id,login,good_detail,query,get_coupon,1,coupon_id,2020-06-14,2020-06-14 10:58:03,2020-06-14
13,vivo,360,1,vivo iqoo3,mid_332519,Android 11.0,963,v2.1.134,14506,15,sku_id,good_list,good_detail,recommend,favor_add,15,sku_id,2020-06-14,2020-06-14 10:58:02,2020-06-14
13,vivo,360,1,vivo iqoo3,mid_332519,Android 11.0,963,v2.1.134,14506,15,sku_id,good_list,good_detail,recommend,get_coupon,3,coupon_id,2020-06-14,2020-06-14 10:58:07,2020-06-14
13,vivo,360,1,vivo iqoo3,mid_332519,Android 11.0,963,v2.1.134,7739,7,sku_id,login,good_detail,query,cart_add,7,sku_id,2020-06-14,2020-06-14 10:58:03,2020-06-14
1,iPhone,Appstore,0,iPhone X,mid_289524,iOS 13.3.1,34,v2.1.132,4883,"17,6,26",sku_ids,orders_unpaid,trade,,trade_add_address,,,2020-06-14,2020-06-14 10:58:00,2020-06-14
33,iPhone,Appstore,1,iPhone X,mid_750432,iOS 12.4.1,906,v2.1.132,16823,31,sku_id,good_list,good_detail,promotion,get_coupon,3,coupon_id,2020-06-14,2020-06-14 10:58:06,2020-06-14
33,iPhone,Appstore,1,iPhone X,mid_750432,iOS 12.4.1,906,v2.1.132,15614,7,sku_id,login,good_detail,query,favor_add,7,sku_id,2020-06-14,2020-06-14 10:58:05,2020-06-14
33,iPhone,Appstore,1,iPhone X,mid_750432,iOS 12.4.1,906,v2.1.132,15614,7,sku_id,login,good_detail,query,get_coupon,2,coupon_id,2020-06-14,2020-06-14 10:58:10,2020-06-14
1,Xiaomi,xiaomi,1,Xiaomi Mix2 ,mid_735524,Android 8.1,148,v2.1.134,4621,27,sku_id,good_list,good_detail,promotion,favor_add,27,sku_id,2020-06-14,2020-06-14 10:57:59,2020-06-14
1,Xiaomi,xiaomi,1,Xiaomi Mix2 ,mid_735524,Android 8.1,148,v2.1.134,4621,27,sku_id,good_list,good_detail,promotion,get_coupon,3,coupon_id,2020-06-14,2020-06-14 10:58:01,2020-06-14
6,iPhone,Appstore,1,iPhone X,mid_512296,iOS 13.2.9,517,v2.1.134,17524,21,sku_id,good_list,good_detail,query,favor_add,21,sku_id,2020-06-14,2020-06-14 10:58:04,2020-06-14
6,iPhone,Appstore,1,iPhone X,mid_512296,iOS 13.2.9,517,v2.1.134,17524,21,sku_id,good_list,good_detail,query,get_coupon,3,coupon_id,2020-06-14,2020-06-14 10:58:10,2020-06-14
1,Xiaomi,xiaomi,1,Xiaomi 9,mid_556385,Android 11.0,576,v2.1.134,16644,23,sku_id,good_list,good_detail,recommend,get_coupon,2,coupon_id,2020-06-14,2020-06-14 10:58:07,2020-06-14
1,Xiaomi,xiaomi,1,Xiaomi 9,mid_556385,Android 11.0,576,v2.1.134,16662,22,sku_id,register,good_detail,recommend,get_coupon,3,coupon_id,2020-06-14,2020-06-14 10:58:10,2020-06-14
26,Huawei,oppo,0,Huawei P30,mid_532540,Android 11.0,449,v2.1.134,1275,16,sku_id,good_list,good_detail,promotion,get_coupon,3,coupon_id,2020-06-14,2020-06-14 10:57:58,2020-06-14
6,Xiaomi,wandoujia,1,Xiaomi Mix2 ,mid_645338,Android 10.0,800,v2.1.134,10949,29,sku_id,orders_unpaid,good_detail,activity,favor_add,29,sku_id,2020-06-14,2020-06-14 10:58:01,2020-06-14
6,Xiaomi,wandoujia,1,Xiaomi Mix2 ,mid_645338,Android 10.0,800,v2.1.134,10949,29,sku_id,orders_unpaid,good_detail,activity,cart_add,29,sku_id,2020-06-14,2020-06-14 10:58:04,2020-06-14
6,Xiaomi,wandoujia,1,Xiaomi Mix2 ,mid_645338,Android 10.0,800,v2.1.134,10949,29,sku_id,orders_unpaid,good_detail,activity,get_coupon,2,coupon_id,2020-06-14,2020-06-14 10:58:07,2020-06-14
6,iPhone,Appstore,1,iPhone Xs,mid_242757,iOS 13.3.1,308,v2.1.132,9601,22,sku_id,home,good_detail,promotion,cart_add,22,sku_id,2020-06-14,2020-06-14 10:58:01,2020-06-14
6,iPhone,Appstore,1,iPhone Xs,mid_242757,iOS 13.3.1,308,v2.1.132,9601,22,sku_id,home,good_detail,promotion,get_coupon,2,coupon_id,2020-06-14,2020-06-14 10:58:04,2020-06-14
33,iPhone,Appstore,0,iPhone Xs Max,mid_140673,iOS 13.3.1,844,v2.1.134,17660,32,sku_id,good_list,good_detail,query,get_coupon,2,coupon_id,2020-06-14,2020-06-14 10:58:07,2020-06-14
33,iPhone,Appstore,0,iPhone Xs Max,mid_140673,iOS 13.3.1,844,v2.1.134,9359,,,good_detail,cart,,cart_remove,20,sku_id,2020-06-14,2020-06-14 10:58:04,2020-06-14
26,Xiaomi,wandoujia,0,Xiaomi Mix2 ,mid_681084,Android 11.0,718,v2.1.134,2848,29,sku_id,login,good_detail,query,get_coupon,1,coupon_id,2020-06-14,2020-06-14 10:58:03,2020-06-14
6,Xiaomi,huawei,1,Xiaomi Mix2 ,mid_203904,Android 11.0,839,v2.1.134,16216,17,sku_id,good_list,good_detail,promotion,favor_add,17,sku_id,2020-06-14,2020-06-14 10:58:05,2020-06-14
6,Xiaomi,huawei,1,Xiaomi Mix2 ,mid_203904,Android 11.0,839,v2.1.134,16216,17,sku_id,good_list,good_detail,promotion,get_coupon,2,coupon_id,2020-06-14,2020-06-14 10:58:10,2020-06-14
6,Xiaomi,huawei,1,Xiaomi Mix2 ,mid_203904,Android 11.0,839,v2.1.134,17667,14,sku_id,register,good_detail,activity,get_coupon,3,coupon_id,2020-06-14,2020-06-14 10:58:11,2020-06-14
6,Xiaomi,oppo,1,Xiaomi Mix2 ,mid_914369,Android 10.0,441,v2.1.132,16609,10,sku_id,home,good_detail,recommend,get_coupon,1,coupon_id,2020-06-14,2020-06-14 10:58:06,2020-06-14
1,Redmi,360,1,Redmi k30,mid_542952,Android 11.0,911,v2.1.134,11483,20,sku_id,good_list,good_detail,activity,get_coupon,1,coupon_id,2020-06-14,2020-06-14 10:58:00,2020-06-14
1,Redmi,360,1,Redmi k30,mid_542952,Android 11.0,911,v2.1.134,9786,,,good_detail,cart,,cart_remove,9,sku_id,2020-06-14,2020-06-14 10:58:00,2020-06-14
1,Redmi,360,1,Redmi k30,mid_542952,Android 11.0,911,v2.1.134,17543,"32,17,19",sku_ids,cart,trade,,trade_add_address,,,2020-06-14,2020-06-14 10:58:05,2020-06-14
12,iPhone,Appstore,1,iPhone Xs Max,mid_547124,iOS 13.3.1,11,v2.1.134,1011,1,sku_id,good_list,good_detail,query,get_coupon,1,coupon_id,2020-06-14,2020-06-14 10:57:56,2020-06-14
12,iPhone,Appstore,1,iPhone Xs Max,mid_547124,iOS 13.3.1,11,v2.1.134,4421,17,sku_id,register,good_detail,query,get_coupon,2,coupon_id,2020-06-14,2020-06-14 10:58:01,2020-06-14
15,iPhone,Appstore,0,iPhone Xs,mid_119039,iOS 13.2.9,839,v2.1.132,3608,24,sku_id,register,good_detail,activity,get_coupon,2,coupon_id,2020-06-14,2020-06-14 10:58:00,2020-06-14
1,Oneplus,360,0,Oneplus 7,mid_850568,Android 11.0,603,v2.1.134,9499,17,sku_id,good_list,good_detail,activity,get_coupon,3,coupon_id,2020-06-14,2020-06-14 10:57:59,2020-06-14
1,iPhone,Appstore,1,iPhone Xs Max,mid_847145,iOS 13.3.1,200,v2.1.134,14234,28,sku_id,good_list,good_detail,query,favor_add,28,sku_id,2020-06-14,2020-06-14 10:57:59,2020-06-14
1,iPhone,Appstore,1,iPhone Xs Max,mid_847145,iOS 13.3.1,200,v2.1.134,14234,28,sku_id,good_list,good_detail,query,get_coupon,3,coupon_id,2020-06-14,2020-06-14 10:58:04,2020-06-14
1,iPhone,Appstore,1,iPhone Xs Max,mid_847145,iOS 13.3.1,200,v2.1.134,13426,,,good_detail,cart,,cart_remove,14,sku_id,2020-06-14,2020-06-14 10:58:02,2020-06-14
1,iPhone,Appstore,1,iPhone Xs,mid_757411,iOS 13.3.1,42,v2.1.134,19337,29,sku_id,good_list,good_detail,promotion,get_coupon,3,coupon_id,2020-06-14,2020-06-14 10:58:05,2020-06-14
1,Xiaomi,web,0,Xiaomi 9,mid_370573,Android 11.0,775,v2.1.134,6985,2,sku_id,good_list,good_detail,query,get_coupon,3,coupon_id,2020-06-14,2020-06-14 10:58:00,2020-06-14
