mid_id,brand,model,operate_system,page_id,during_time_1d,view_count_1d,dt
mid_812530,iPhone,iPhone Xs Max,iOS 13.2.3,good_detail,15492,1,2020-06-14
mid_756104,Xiaomi,Xiaomi Mix2 ,Android 11.0,cart,5998,1,2020-06-14
mid_186197,iPhone,iPhone Xs,iOS 13.3.1,trade,15612,1,2020-06-14
mid_285818,iPhone,iPhone Xs,iOS 13.2.9,payment,19903,1,2020-06-14
mid_788808,Xiaomi,Xiaomi 10 Pro ,Android 10.0,payment,3493,1,2020-06-14
mid_257925,Xiaomi,Xiaomi 10 Pro ,Android 11.0,good_list,17657,1,2020-06-14
mid_511868,Redmi,Redmi k30,Android 11.0,home,14465,1,2020-06-14
mid_477127,iPhone,iPhone 8,iOS 13.3.1,good_detail,11382,1,2020-06-14
mid_215460,Sumsung,Sumsung Galaxy S20,Android 11.0,home,17227,1,2020-06-14
mid_623769,iPhone,iPhone Xs Max,iOS 13.2.3,trade,12830,1,2020-06-14
mid_72753,Xiaomi,Xiaomi Mix2 ,Android 11.0,payment,18234,1,2020-06-14
mid_635512,Huawei,Huawei Mate 30,Android 11.0,good_list,1174,1,2020-06-14
mid_547124,iPhone,iPhone Xs Max,iOS 13.3.1,cart,1406,1,2020-06-14
mid_356598,Honor,Honor 20s,Android 10.0,payment,1105,1,2020-06-14
mid_82292,vivo,vivo iqoo3,Android 11.0,home,16783,1,2020-06-14
mid_60124,iPhone,iPhone 8,iOS 13.3.1,good_detail,29787,2,2020-06-14
mid_52195,iPhone,iPhone X,iOS 13.2.3,mine,9280,1,2020-06-14
mid_805461,Xiaomi,Xiaomi 9,Android 11.0,good_detail,17558,2,2020-06-14
mid_646743,iPhone,iPhone 8,iOS 13.2.9,payment,6375,1,2020-06-14
mid_842896,Xiaomi,Xiaomi Mix2 ,Android 10.0,trade,6122,1,2020-06-14
mid_340499,iPhone,iPhone X,iOS 13.2.9,payment,3710,1,2020-06-14
mid_842896,Xiaomi,Xiaomi Mix2 ,Android 10.0,cart,4278,1,2020-06-14
mid_734766,Honor,Honor 20s,Android 11.0,trade,13515,1,2020-06-14
mid_356598,Honor,Honor 20s,Android 10.0,register,10914,1,2020-06-14
mid_584431,Xiaomi,Xiaomi 9,Android 11.0,trade,18943,1,2020-06-14
