mid_id,brand,model,operate_system,page_id,during_time_7d,view_count_7d,during_time_30d,view_count_30d,dt
mid_981821,Xiaomi,Xiaomi 10 Pro ,Android 10.0,payment,4125,1,4125,1,2020-06-14
mid_844247,iPhone,iPhone 8,iOS 13.2.9,payment,18154,1,18154,1,2020-06-14
mid_10511,Xiaomi,Xiaomi 10 Pro ,Android 11.0,trade,16521,1,16521,1,2020-06-14
mid_53557,Xiaomi,Xiaomi Mix2 ,Android 10.0,trade,15612,1,15612,1,2020-06-14
mid_618742,Xiaomi,Xiaomi 9,Android 11.0,payment,17672,1,17672,1,2020-06-14
mid_347093,Xiaomi,Xiaomi 10 Pro ,Android 11.0,search,7140,1,7140,1,2020-06-14
mid_145732,Redmi,Redmi k30,Android 11.0,search,4320,1,4320,1,2020-06-14
mid_370573,Xiaomi,Xiaomi 9,Android 11.0,good_list,19809,1,19809,1,2020-06-14
mid_52195,iPhone,iPhone X,iOS 13.2.3,home,3482,1,3482,1,2020-06-14
mid_495031,iPhone,iPhone Xs Max,iOS 13.2.3,good_detail,4103,1,4103,1,2020-06-14
mid_850292,Xiaomi,Xiaomi 9,Android 10.0,register,11562,1,11562,1,2020-06-14
mid_73498,iPhone,iPhone Xs Max,iOS 13.3.1,login,5604,1,5604,1,2020-06-14
mid_847145,iPhone,iPhone Xs Max,iOS 13.3.1,home,8720,1,8720,1,2020-06-14
mid_227439,Honor,Honor 20s,Android 11.0,payment,7269,1,7269,1,2020-06-14
mid_404809,Oneplus,Oneplus 7,Android 11.0,trade,7575,1,7575,1,2020-06-14
mid_975242,Oneplus,Oneplus 7,Android 11.0,payment,2450,1,2450,1,2020-06-14
mid_584431,Xiaomi,Xiaomi 9,Android 11.0,home,4513,1,4513,1,2020-06-14
mid_170887,Huawei,Huawei P30,Android 11.0,home,4660,1,4660,1,2020-06-14
mid_511558,Xiaomi,Xiaomi 10 Pro ,Android 10.0,orders_unpaid,14073,1,14073,1,2020-06-14
mid_168913,iPhone,iPhone X,iOS 13.3.1,home,9400,1,9400,1,2020-06-14
mid_770456,Xiaomi,Xiaomi 10 Pro ,Android 11.0,comment,13238,1,13238,1,2020-06-14
mid_844247,iPhone,iPhone 8,iOS 13.2.9,trade,11179,1,11179,1,2020-06-14
mid_819184,Xiaomi,Xiaomi 9,Android 11.0,cart,19847,1,19847,1,2020-06-14
mid_406739,Xiaomi,Xiaomi Mix2 ,Android 11.0,home,3542,1,3542,1,2020-06-14
mid_203904,Xiaomi,Xiaomi Mix2 ,Android 11.0,cart,14322,1,14322,1,2020-06-14
mid_632934,Oneplus,Oneplus 7,Android 11.0,orders_unpaid,10219,1,10219,1,2020-06-14
mid_300061,iPhone,iPhone Xs Max,iOS 13.2.9,trade,12569,1,12569,1,2020-06-14
mid_120348,iPhone,iPhone Xs Max,iOS 13.3.1,good_detail,5433,1,5433,1,2020-06-14
mid_759465,iPhone,iPhone X,iOS 13.3.1,home,32093,2,32093,2,2020-06-14
mid_368792,Xiaomi,Xiaomi Mix2 ,Android 11.0,good_detail,23329,2,23329,2,2020-06-14
mid_138575,Xiaomi,Xiaomi 10 Pro ,Android 11.0,mine,1131,1,1131,1,2020-06-14
mid_452562,Huawei,Huawei Mate 30,Android 11.0,good_spec,10265,1,10265,1,2020-06-14
mid_167841,Xiaomi,Xiaomi 10 Pro ,Android 11.0,payment,9846,1,9846,1,2020-06-14
mid_68876,Xiaomi,Xiaomi 10 Pro ,Android 11.0,home,5992,1,5992,1,2020-06-14
mid_167139,iPhone,iPhone Xs Max,iOS 13.2.9,payment,14889,1,14889,1,2020-06-14
mid_300061,iPhone,iPhone Xs Max,iOS 13.2.9,payment,10401,1,10401,1,2020-06-14
mid_723133,Huawei,Huawei Mate 30,Android 11.0,home,15225,1,15225,1,2020-06-14
mid_132723,Honor,Honor 20s,Android 10.0,good_list,7563,1,7563,1,2020-06-14
mid_226014,Xiaomi,Xiaomi Mix2 ,Android 9.0,good_detail,15034,1,15034,1,2020-06-14
mid_191306,Xiaomi,Xiaomi 9,Android 11.0,trade,7760,1,7760,1,2020-06-14
mid_27278,iPhone,iPhone X,iOS 13.3.1,trade,19927,1,19927,1,2020-06-14
mid_297147,Xiaomi,Xiaomi 10 Pro ,Android 11.0,payment,12985,1,12985,1,2020-06-14
mid_452562,Huawei,Huawei Mate 30,Android 11.0,comment,13183,1,13183,1,2020-06-14
mid_618742,Xiaomi,Xiaomi 9,Android 11.0,home,10690,1,10690,1,2020-06-14
mid_492166,Xiaomi,Xiaomi Mix2 ,Android 10.0,home,12707,1,12707,1,2020-06-14
mid_699098,iPhone,iPhone Xs,iOS 13.3.1,cart,6049,1,6049,1,2020-06-14
mid_425564,iPhone,iPhone 8,iOS 13.3.1,cart,9824,1,9824,1,2020-06-14
mid_740318,Huawei,Huawei P30,Android 11.0,home,6930,1,6930,1,2020-06-14
mid_426894,Xiaomi,Xiaomi 9,Android 9.0,good_detail,7428,2,7428,2,2020-06-14
mid_477957,Xiaomi,Xiaomi Mix2 ,Android 11.0,mine,8966,1,8966,1,2020-06-14
mid_353733,vivo,vivo iqoo3,Android 11.0,search,7760,1,7760,1,2020-06-14
mid_508054,Xiaomi,Xiaomi Mix2 ,Android 11.0,cart,8659,1,8659,1,2020-06-14
mid_927895,iPhone,iPhone Xs Max,iOS 13.3.1,home,1351,1,1351,1,2020-06-14
mid_388991,Xiaomi,Xiaomi 10 Pro ,Android 11.0,payment,7352,1,7352,1,2020-06-14
mid_567781,iPhone,iPhone Xs,iOS 13.3.1,good_list,2197,1,2197,1,2020-06-14
mid_803497,iPhone,iPhone Xs,iOS 13.2.3,good_list,6014,1,6014,1,2020-06-14
mid_6625,iPhone,iPhone 8,iOS 13.3.1,good_detail,31661,2,31661,2,2020-06-14
mid_681084,Xiaomi,Xiaomi Mix2 ,Android 11.0,cart,18015,1,18015,1,2020-06-14
mid_572513,Xiaomi,Xiaomi 9,Android 10.0,cart,13298,1,13298,1,2020-06-14
mid_23052,iPhone,iPhone X,iOS 13.2.9,good_detail,7057,2,7057,2,2020-06-14
mid_588471,Xiaomi,Xiaomi 9,Android 8.1,cart,19432,1,19432,1,2020-06-14
mid_434448,vivo,vivo iqoo3,Android 11.0,comment,9188,1,9188,1,2020-06-14
mid_906849,Xiaomi,Xiaomi 10 Pro ,Android 10.0,search,10705,1,10705,1,2020-06-14
mid_989803,iPhone,iPhone X,iOS 13.2.9,home,4350,1,4350,1,2020-06-14
mid_174101,Oneplus,Oneplus 7,Android 11.0,login,12572,1,12572,1,2020-06-14
mid_434448,vivo,vivo iqoo3,Android 11.0,payment,3598,1,3598,1,2020-06-14
mid_766277,Xiaomi,Xiaomi 10 Pro ,Android 11.0,good_detail,13319,2,13319,2,2020-06-14
mid_277858,Xiaomi,Xiaomi 9,Android 11.0,home,10896,1,10896,1,2020-06-14
mid_635512,Huawei,Huawei Mate 30,Android 11.0,home,6064,1,6064,1,2020-06-14
mid_643319,Xiaomi,Xiaomi 10 Pro ,Android 11.0,home,16350,1,16350,1,2020-06-14
mid_924530,iPhone,iPhone Xs Max,iOS 13.2.3,login,5603,1,5603,1,2020-06-14
mid_480813,Xiaomi,Xiaomi 10 Pro ,Android 11.0,payment,4566,1,4566,1,2020-06-14
mid_713714,Xiaomi,Xiaomi 10 Pro ,Android 8.1,home,15201,1,15201,1,2020-06-14
mid_547535,iPhone,iPhone Xs Max,iOS 13.3.1,comment,11331,1,11331,1,2020-06-14
mid_841336,iPhone,iPhone Xs Max,iOS 13.3.1,search,15593,1,15593,1,2020-06-14
mid_6625,iPhone,iPhone 8,iOS 13.3.1,payment,7396,1,7396,1,2020-06-14
mid_947547,Xiaomi,Xiaomi 10 Pro ,Android 11.0,good_spec,17326,1,17326,1,2020-06-14
mid_515485,iPhone,iPhone X,iOS 12.4.1,cart,5741,1,5741,1,2020-06-14
mid_23052,iPhone,iPhone X,iOS 13.2.9,login,13133,1,13133,1,2020-06-14
mid_199586,Xiaomi,Xiaomi 9,Android 11.0,payment,8957,1,8957,1,2020-06-14
mid_527572,iPhone,iPhone 8,iOS 13.2.3,search,4329,1,4329,1,2020-06-14
mid_556385,Xiaomi,Xiaomi 9,Android 11.0,search,17167,1,17167,1,2020-06-14
mid_341014,Xiaomi,Xiaomi Mix2 ,Android 10.0,comment,6720,1,6720,1,2020-06-14
mid_557057,Redmi,Redmi k30,Android 11.0,home,4069,1,4069,1,2020-06-14
mid_49943,iPhone,iPhone 8,iOS 13.3.1,home,19987,1,19987,1,2020-06-14
