id,name,category2_id,dt
1,电子书,1,2020-06-14
2,网络原创,1,2020-06-14
3,数字杂志,1,2020-06-14
4,多媒体图书,1,2020-06-14
5,音乐,2,2020-06-14
6,影视,2,2020-06-14
7,教育音像,2,2020-06-14
8,少儿,3,2020-06-14
9,商务投资,3,2020-06-14
10,英语学习与考试,3,2020-06-14
11,文学,3,2020-06-14
12,传记,3,2020-06-14
13,励志,3,2020-06-14
14,小说,4,2020-06-14
15,文学,4,2020-06-14
16,青春文学,4,2020-06-14
17,传记,4,2020-06-14
18,艺术,4,2020-06-14
19,少儿,5,2020-06-14
20,0-2岁,5,2020-06-14
21,3-6岁,5,2020-06-14
22,7-10岁,5,2020-06-14
23,11-14岁,5,2020-06-14
24,历史,6,2020-06-14
25,哲学,6,2020-06-14
26,国学,6,2020-06-14
27,政治/军事,6,2020-06-14
28,法律,6,2020-06-14
29,人文社科,6,2020-06-14
30,心理学,6,2020-06-14
31,文化,6,2020-06-14
32,社会科学,6,2020-06-14
33,经济,7,2020-06-14
34,金融与投资,7,2020-06-14
35,管理,7,2020-06-14
36,励志与成功,7,2020-06-14
37,生活,8,2020-06-14
38,健身与保健,8,2020-06-14
39,家庭与育儿,8,2020-06-14
40,旅游,8,2020-06-14
41,烹饪美食,8,2020-06-14
42,工业技术,9,2020-06-14
43,科普读物,9,2020-06-14
44,建筑,9,2020-06-14
45,医学,9,2020-06-14
46,科学与自然,9,2020-06-14
47,计算机与互联网,9,2020-06-14
48,电子通信,9,2020-06-14
49,中小学教辅,10,2020-06-14
50,教育与考试,10,2020-06-14
51,外语学习,10,2020-06-14
52,大中专教材,10,2020-06-14
53,字典词典,10,2020-06-14
54,艺术/设计/收藏,11,2020-06-14
55,经济管理,11,2020-06-14
56,文化/学术,11,2020-06-14
57,少儿,11,2020-06-14
58,工具书,12,2020-06-14
59,杂志/期刊,12,2020-06-14
60,套装书,12,2020-06-14
61,手机,13,2020-06-14
62,对讲机,13,2020-06-14
63,合约机,14,2020-06-14
64,选号中心,14,2020-06-14
65,装宽带,14,2020-06-14
66,办套餐,14,2020-06-14
67,移动电源,15,2020-06-14
68,电池/移动电源,15,2020-06-14
69,蓝牙耳机,15,2020-06-14
70,充电器/数据线,15,2020-06-14
71,苹果周边,15,2020-06-14
72,手机耳机,15,2020-06-14
73,手机贴膜,15,2020-06-14
74,手机存储卡,15,2020-06-14
75,充电器,15,2020-06-14
76,数据线,15,2020-06-14
77,手机保护套,15,2020-06-14
78,车载配件,15,2020-06-14
79,iPhone 配件,15,2020-06-14
80,手机电池,15,2020-06-14
81,创意配件,15,2020-06-14
82,便携/无线音响,15,2020-06-14
83,手机饰品,15,2020-06-14
84,拍照配件,15,2020-06-14
85,手机支架,15,2020-06-14
86,平板电视,16,2020-06-14
87,空调,16,2020-06-14
88,冰箱,16,2020-06-14
89,洗衣机,16,2020-06-14
90,家庭影院,16,2020-06-14
91,DVD/电视盒子,16,2020-06-14
92,迷你音响,16,2020-06-14
93,冷柜/冰吧,16,2020-06-14
94,家电配件,16,2020-06-14
95,功放,16,2020-06-14
96,回音壁/Soundbar,16,2020-06-14
97,Hi-Fi专区,16,2020-06-14
98,电视盒子,16,2020-06-14
99,酒柜,16,2020-06-14
100,燃气灶,17,2020-06-14
101,油烟机,17,2020-06-14
102,热水器,17,2020-06-14
103,消毒柜,17,2020-06-14
104,洗碗机,17,2020-06-14
105,料理机,18,2020-06-14
106,榨汁机,18,2020-06-14
107,电饭煲,18,2020-06-14
108,电压力锅,18,2020-06-14
109,豆浆机,18,2020-06-14
110,咖啡机,18,2020-06-14
111,微波炉,18,2020-06-14
112,电烤箱,18,2020-06-14
113,电磁炉,18,2020-06-14
