id,name,region_id,area_code,iso_code,iso_3166_2,dt
1,北京,1,110000,CN-11,CN-BJ,2020-06-14
2,天津,1,120000,CN-12,CN-TJ,2020-06-14
3,山西,1,140000,CN-14,CN-SX,2020-06-14
4,内蒙古,1,150000,CN-15,CN-NM,2020-06-14
5,河北,1,130000,CN-13,CN-HE,2020-06-14
6,上海,2,310000,CN-31,CN-SH,2020-06-14
7,江苏,2,320000,CN-32,CN-JS,2020-06-14
8,浙江,2,330000,CN-33,CN-ZJ,2020-06-14
9,安徽,2,340000,CN-34,CN-AH,2020-06-14
10,福建,2,350000,CN-35,CN-FJ,2020-06-14
11,江西,2,360000,CN-36,CN-JX,2020-06-14
12,山东,2,370000,CN-37,CN-SD,2020-06-14
14,台湾,2,710000,CN-71,CN-TW,2020-06-14
15,黑龙江,3,230000,CN-23,CN-HL,2020-06-14
16,吉林,3,220000,CN-22,CN-JL,2020-06-14
17,辽宁,3,210000,CN-21,CN-LN,2020-06-14
18,陕西,7,610000,CN-61,CN-SN,2020-06-14
19,甘肃,7,620000,CN-62,CN-GS,2020-06-14
20,青海,7,630000,CN-63,CN-QH,2020-06-14
21,宁夏,7,640000,CN-64,CN-NX,2020-06-14
22,新疆,7,650000,CN-65,CN-XJ,2020-06-14
23,河南,4,410000,CN-41,CN-HA,2020-06-14
24,湖北,4,420000,CN-42,CN-HB,2020-06-14
25,湖南,4,430000,CN-43,CN-HN,2020-06-14
26,广东,5,440000,CN-44,CN-GD,2020-06-14
27,广西,5,450000,CN-45,CN-GX,2020-06-14
28,海南,5,460000,CN-46,CN-HI,2020-06-14
29,香港,5,810000,CN-91,CN-HK,2020-06-14
30,澳门,5,820000,CN-92,CN-MO,2020-06-14
31,四川,6,510000,CN-51,CN-SC,2020-06-14
32,贵州,6,520000,CN-52,CN-GZ,2020-06-14
33,云南,6,530000,CN-53,CN-YN,2020-06-14
13,重庆,6,500000,CN-50,CN-CQ,2020-06-14
34,西藏,6,540000,CN-54,CN-XZ,2020-06-14
