id,user_id,sku_id,cart_price,sku_num,img_url,sku_name,is_checked,create_time,operate_time,is_ordered,order_time,source_type,source_id,dt
30916,23,15,4488.00,1,,华为 HUAWEI P40 麒麟990 5G SoC芯片 5000万超感知徕卡三摄 30倍数字变焦 8GB+128GB冰霜银全网通5G手机,,2020-06-10 11:05:17,,1,2023-06-08 11:08:55,2402,40,2020-06-14
30917,23,3,5999.00,2,,小米10 至尊纪念版 双模5G 骁龙865 120HZ高刷新率 120倍长焦镜头 120W快充 8GB+128GB 透明版 游戏手机,,2020-06-10 11:05:17,,1,2023-06-08 11:05:18,2401,,2020-06-14
30918,23,34,3927.00,2,,华为智慧屏V55i-J 55英寸 HEGE-550B 4K全面屏智能电视机 多方视频通话 AI升降摄像头 银钻灰 京品家电,,2020-06-10 11:05:17,,1,2023-06-08 11:08:55,2401,,2020-06-14
30919,23,29,69.00,3,,CAREMiLLE珂曼奶油小方口红 雾面滋润保湿持久丝缎唇膏 M01醉蔷薇,,2020-06-10 11:05:17,,1,2023-06-08 11:08:55,2402,52,2020-06-14
30920,23,33,488.00,3,,香奈儿（Chanel）女士香水5号香水 粉邂逅柔情淡香水EDT 粉邂逅淡香水35ml,,2020-06-10 11:05:17,,1,2023-06-08 11:08:55,2402,30,2020-06-14
30922,23,1,5999.00,1,,小米10 至尊纪念版 双模5G 骁龙865 120HZ高刷新率 120倍长焦镜头 120W快充 8GB+128GB 陶瓷黑 游戏手机,,2020-06-10 11:05:17,,0,,2401,,2020-06-14
30923,40,22,39.00,2,,十月稻田 长粒香大米 东北大米 东北香米 5kg,,2020-06-10 11:05:17,,1,2023-06-08 11:05:18,2401,,2020-06-14
30924,40,26,129.00,2,,索芙特i-Softto 口红不掉色唇膏保湿滋润 璀璨金钻哑光唇膏 Y01复古红 百搭气质 璀璨金钻哑光唇膏 ,,2020-06-10 11:05:17,,1,2023-06-08 11:05:18,2401,,2020-06-14
30926,40,30,69.00,3,,CAREMiLLE珂曼奶油小方口红 雾面滋润保湿持久丝缎唇膏 M02干玫瑰,,2020-06-10 11:05:17,,0,,2402,89,2020-06-14
30927,40,2,6999.00,6,,小米10 至尊纪念版 双模5G 骁龙865 120HZ高刷新率 120倍长焦镜头 120W快充 12GB+256GB 陶瓷黑 游戏手机,,2020-06-10 11:05:17,,1,2023-06-08 11:05:18,2401,,2020-06-14
30928,40,32,300.00,3,,香奈儿（Chanel）女士香水5号香水 粉邂逅柔情淡香水EDT 5号淡香水35ml,,2020-06-10 11:05:17,,1,2023-06-08 11:05:18,2402,89,2020-06-14
30930,43,9,8197.00,3,,Apple iPhone 12 (A2404) 64GB 红色 支持移动联通电信5G 双卡双待手机,,2020-06-10 11:05:17,,1,2023-06-08 11:07:56,2404,1,2020-06-14
30931,43,27,129.00,1,,索芙特i-Softto 口红不掉色唇膏保湿滋润 璀璨金钻哑光唇膏 Z02少女红 活力青春 璀璨金钻哑光唇膏 ,,2020-06-10 11:05:17,,1,2023-06-08 11:07:56,2402,83,2020-06-14
30933,43,23,40.00,3,,十月稻田 辽河长粒香 东北大米 5kg,,2020-06-10 11:05:17,,0,,2401,,2020-06-14
30934,44,11,8197.00,3,,Apple iPhone 12 (A2404) 64GB 白色 支持移动联通电信5G 双卡双待手机,,2020-06-10 11:05:17,,1,2023-06-08 11:08:16,2401,,2020-06-14
30935,44,25,23.00,4,,金沙河面条 银丝挂面900g*3包 爽滑 细面条 龙须面 速食面,,2020-06-10 11:05:17,,1,2023-06-08 11:08:16,2401,,2020-06-14
30936,44,16,4488.00,2,,华为 HUAWEI P40 麒麟990 5G SoC芯片 5000万超感知徕卡三摄 30倍数字变焦 8GB+128GB亮黑色全网通5G手机,,2020-06-10 11:05:17,,1,2023-06-08 11:08:16,2401,,2020-06-14
30937,44,35,5499.00,3,,华为智慧屏V65i 65英寸 HEGE-560B 4K全面屏智能电视机 多方视频通话 AI升降摄像头 4GB+32GB 星际黑,,2020-06-10 11:05:17,,1,2023-06-08 11:08:16,2403,,2020-06-14
30939,64,8,8197.00,4,,Apple iPhone 12 (A2404) 64GB 黑色 支持移动联通电信5G 双卡双待手机,,2020-06-10 11:05:17,,0,,2401,,2020-06-14
30940,64,24,11.00,3,,金沙河面条 原味银丝挂面 龙须面 方便速食拉面 清汤面 900g,,2020-06-10 11:05:17,,0,,2402,32,2020-06-14
30942,69,27,129.00,3,,索芙特i-Softto 口红不掉色唇膏保湿滋润 璀璨金钻哑光唇膏 Z02少女红 活力青春 璀璨金钻哑光唇膏 ,,2020-06-10 11:05:17,,0,,2401,,2020-06-14
30944,86,23,40.00,2,,十月稻田 辽河长粒香 东北大米 5kg,,2020-06-10 11:05:17,,1,2023-06-08 11:07:29,2402,53,2020-06-14
30945,86,27,129.00,5,,索芙特i-Softto 口红不掉色唇膏保湿滋润 璀璨金钻哑光唇膏 Z02少女红 活力青春 璀璨金钻哑光唇膏 ,,2020-06-10 11:05:17,,0,,2401,,2020-06-14
30946,86,30,69.00,2,,CAREMiLLE珂曼奶油小方口红 雾面滋润保湿持久丝缎唇膏 M02干玫瑰,,2020-06-10 11:05:17,,1,2023-06-08 11:08:16,2401,,2020-06-14
30947,86,22,39.00,3,,十月稻田 长粒香大米 东北大米 东北香米 5kg,,2020-06-10 11:05:17,,1,2023-06-08 11:07:29,2402,47,2020-06-14
30948,86,26,129.00,2,,索芙特i-Softto 口红不掉色唇膏保湿滋润 璀璨金钻哑光唇膏 Y01复古红 百搭气质 璀璨金钻哑光唇膏 ,,2020-06-10 11:05:17,,0,,2401,,2020-06-14
30949,86,7,1299.00,2,,Redmi 10X 4G Helio G85游戏芯 4800万超清四摄 5020mAh大电量 小孔全面屏 128GB大存储 8GB+128GB 明月灰 游戏智能手机 小米 红米,,2020-06-10 11:05:17,,0,,2401,,2020-06-14
