common,page,actions,displays,start,err,ts,dt
"{""ar"":""230000"",""ba"":""Redmi"",""ch"":""vivo"",""is_new"":""0"",""md"":""Redmi k30"",""mid"":""mid_21352"",""os"":""Android 11.0"",""uid"":""606"",""vc"":""v2.1.134""}",,,,"{""entry"":""icon"",""loading_time"":5874,""open_ad_id"":15,""open_ad_ms"":6651,""open_ad_skip_ms"":4148}",,1592103472000,2020-06-14
"{""ar"":""230000"",""ba"":""Redmi"",""ch"":""vivo"",""is_new"":""0"",""md"":""Redmi k30"",""mid"":""mid_21352"",""os"":""Android 11.0"",""uid"":""606"",""vc"":""v2.1.134""}","{""during_time"":""7443"",""item"":null,""item_type"":null,""last_page_id"":null,""page_id"":""home"",""source_type"":null}",,"[{""display_type"":""activity"",""item"":""1"",""item_type"":""activity_id"",""order"":""1"",""pos_id"":""4""},{""display_type"":""query"",""item"":""9"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""4""},{""display_type"":""query"",""item"":""10"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""5""},{""display_type"":""promotion"",""item"":""29"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""5""},{""display_type"":""query"",""item"":""1"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""3""},{""display_type"":""query"",""item"":""24"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""1""},{""display_type"":""query"",""item"":""6"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""1""},{""display_type"":""query"",""item"":""21"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""5""},{""display_type"":""query"",""item"":""35"",""item_type"":""sku_id"",""order"":""9"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""33"",""item_type"":""sku_id"",""order"":""10"",""pos_id"":""4""}]",,,1592103472000,2020-06-14
"{""ar"":""230000"",""ba"":""Redmi"",""ch"":""vivo"",""is_new"":""0"",""md"":""Redmi k30"",""mid"":""mid_21352"",""os"":""Android 11.0"",""uid"":""606"",""vc"":""v2.1.134""}","{""during_time"":""7453"",""item"":""26"",""item_type"":""sku_id"",""last_page_id"":""home"",""page_id"":""good_detail"",""source_type"":""activity""}","[{""action_id"":""get_coupon"",""item"":""3"",""item_type"":""coupon_id"",""ts"":1592103476726}]","[{""display_type"":""query"",""item"":""7"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""4""},{""display_type"":""query"",""item"":""10"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""3""},{""display_type"":""recommend"",""item"":""29"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""4""},{""display_type"":""promotion"",""item"":""12"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""1""},{""display_type"":""query"",""item"":""22"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""3""},{""display_type"":""query"",""item"":""23"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""2""},{""display_type"":""query"",""item"":""23"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""3""},{""display_type"":""query"",""item"":""16"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""3""},{""display_type"":""query"",""item"":""1"",""item_type"":""sku_id"",""order"":""9"",""pos_id"":""2""}]",,,1592103473000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_756104"",""os"":""Android 11.0"",""uid"":""443"",""vc"":""v2.1.134""}",,,,"{""entry"":""icon"",""loading_time"":18193,""open_ad_id"":2,""open_ad_ms"":6178,""open_ad_skip_ms"":0}",,1592103472000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_756104"",""os"":""Android 11.0"",""uid"":""443"",""vc"":""v2.1.134""}","{""during_time"":""9288"",""item"":null,""item_type"":null,""last_page_id"":null,""page_id"":""home"",""source_type"":null}",,"[{""display_type"":""activity"",""item"":""1"",""item_type"":""activity_id"",""order"":""1"",""pos_id"":""5""},{""display_type"":""query"",""item"":""28"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""11"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""4""},{""display_type"":""query"",""item"":""7"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""2""},{""display_type"":""promotion"",""item"":""19"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""3""},{""display_type"":""query"",""item"":""23"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""1""},{""display_type"":""query"",""item"":""32"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""4""},{""display_type"":""query"",""item"":""25"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""4""},{""display_type"":""query"",""item"":""9"",""item_type"":""sku_id"",""order"":""9"",""pos_id"":""3""},{""display_type"":""query"",""item"":""18"",""item_type"":""sku_id"",""order"":""10"",""pos_id"":""5""},{""display_type"":""promotion"",""item"":""1"",""item_type"":""sku_id"",""order"":""11"",""pos_id"":""4""}]",,,1592103472000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_756104"",""os"":""Android 11.0"",""uid"":""443"",""vc"":""v2.1.134""}","{""during_time"":""4812"",""item"":null,""item_type"":null,""last_page_id"":""home"",""page_id"":""search"",""source_type"":null}",,,,,1592103473000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_756104"",""os"":""Android 11.0"",""uid"":""443"",""vc"":""v2.1.134""}","{""during_time"":""6288"",""item"":""iphone11"",""item_type"":""keyword"",""last_page_id"":""search"",""page_id"":""good_list"",""source_type"":null}",,"[{""display_type"":""query"",""item"":""17"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""4""},{""display_type"":""recommend"",""item"":""15"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""3""},{""display_type"":""recommend"",""item"":""11"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""2""},{""display_type"":""query"",""item"":""1"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""2""},{""display_type"":""recommend"",""item"":""7"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""2""}]",,,1592103474000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_756104"",""os"":""Android 11.0"",""uid"":""443"",""vc"":""v2.1.134""}","{""during_time"":""6583"",""item"":""8"",""item_type"":""sku_id"",""last_page_id"":""good_list"",""page_id"":""good_detail"",""source_type"":""promotion""}","[{""action_id"":""cart_add"",""item"":""8"",""item_type"":""sku_id"",""ts"":1592103478291}]","[{""display_type"":""query"",""item"":""20"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""1""},{""display_type"":""query"",""item"":""8"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""1""},{""display_type"":""query"",""item"":""11"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""3""},{""display_type"":""query"",""item"":""6"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""2""},{""display_type"":""query"",""item"":""12"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""22"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""2""},{""display_type"":""promotion"",""item"":""22"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""5""},{""display_type"":""query"",""item"":""22"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""4""},{""display_type"":""promotion"",""item"":""7"",""item_type"":""sku_id"",""order"":""9"",""pos_id"":""5""}]",,,1592103475000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_756104"",""os"":""Android 11.0"",""uid"":""443"",""vc"":""v2.1.134""}","{""during_time"":""15346"",""item"":null,""item_type"":null,""last_page_id"":""good_detail"",""page_id"":""login"",""source_type"":null}",,,,,1592103476000,2020-06-14
"{""ar"":""110000"",""ba"":""Xiaomi"",""ch"":""xiaomi"",""is_new"":""1"",""md"":""Xiaomi Mix2 "",""mid"":""mid_756104"",""os"":""Android 11.0"",""uid"":""443"",""vc"":""v2.1.134""}","{""during_time"":""7815"",""item"":""23"",""item_type"":""sku_id"",""last_page_id"":""login"",""page_id"":""good_detail"",""source_type"":""promotion""}","[{""action_id"":""get_coupon"",""item"":""3"",""item_type"":""coupon_id"",""ts"":1592103480907}]","[{""display_type"":""promotion"",""item"":""30"",""item_type"":""sku_id"",""order"":""1"",""pos_id"":""4""},{""display_type"":""promotion"",""item"":""18"",""item_type"":""sku_id"",""order"":""2"",""pos_id"":""2""},{""display_type"":""promotion"",""item"":""32"",""item_type"":""sku_id"",""order"":""3"",""pos_id"":""5""},{""display_type"":""query"",""item"":""17"",""item_type"":""sku_id"",""order"":""4"",""pos_id"":""4""},{""display_type"":""promotion"",""item"":""35"",""item_type"":""sku_id"",""order"":""5"",""pos_id"":""5""},{""display_type"":""query"",""item"":""7"",""item_type"":""sku_id"",""order"":""6"",""pos_id"":""1""},{""display_type"":""promotion"",""item"":""5"",""item_type"":""sku_id"",""order"":""7"",""pos_id"":""4""},{""display_type"":""query"",""item"":""8"",""item_type"":""sku_id"",""order"":""8"",""pos_id"":""1""},{""display_type"":""query"",""item"":""16"",""item_type"":""sku_id"",""order"":""9"",""pos_id"":""3""}]",,,1592103477000,2020-06-14
