id,spu_name,description,category3_id,tm_id,dt
1,小米10,小米10,61,1,2020-06-14
2,Redmi 10X,Redmi 10X,61,1,2020-06-14
3,Apple iPhone 12,Apple iPhone 12,61,2,2020-06-14
4,HUAWEI P40,HUAWEI P40,61,3,2020-06-14
5,TCL巨幕私人影院电视 4K超高清 AI智慧屏  液晶平板电视机,TCL巨幕私人影院电视 4K超高清 AI智慧屏  液晶平板电视机,86,4,2020-06-14
6,小米电视 内置小爱 智能网络液晶平板教育电视,小米电视 内置小爱 智能网络液晶平板教育电视,86,5,2020-06-14
7,十月稻田 长粒香大米 东北大米 东北香米 5kg,十月稻田 长粒香大米 东北大米 东北香米 5kg,803,6,2020-06-14
8,金沙河面条 原味银丝挂面 龙须面 方便速食拉面 清汤面 900g,金沙河面条 原味银丝挂面 龙须面 方便速食拉面 清汤面 900g,803,7,2020-06-14
9,索芙特i-Softto 口红不掉色唇膏保湿滋润 璀璨金钻哑光唇膏 ,索芙特i-Softto 口红不掉色唇膏保湿滋润 璀璨金钻哑光唇膏 ,477,8,2020-06-14
10,CAREMiLLE珂曼奶油小方口红 雾面滋润保湿持久丝缎唇膏,CAREMiLLE珂曼奶油小方口红 雾面滋润保湿持久丝缎唇膏,477,9,2020-06-14
11,香奈儿（Chanel）女士香水5号香水 粉邂逅柔情淡香水EDT ,香奈儿（Chanel）女士香水5号香水 粉邂逅柔情淡香水EDT ,473,11,2020-06-14
12,华为智慧屏 4K全面屏智能电视机,华为智慧屏 4K全面屏智能电视机,86,3,2020-06-14
