category1_id,user_id,order_count_7d,order_num_7d,order_total_amount_7d,user_level,age,gender,price
2,1,1,2,8976,1,19,0,4488
2,9,2,6,41994,1,27,0,6999
2,10,1,3,3897,1,43,1,1299
2,11,1,3,20997,1,20,0,6999
8,11,5,15,830,1,20,0,55
2,11,1,3,3897,1,20,0,1299
2,13,1,1,4188,2,30,0,4188
2,13,1,1,1299,2,30,0,1299
14,14,1,1,11,3,34,1,11
8,14,1,2,976,3,34,1,488
2,16,1,3,13464,1,50,1,4488
3,16,3,6,17394,1,50,1,2899
2,16,2,6,7794,1,50,1,1299
8,16,7,14,795.98,1,50,1,57
2,18,1,2,11998,1,39,0,5999
2,18,1,1,7997,1,39,0,7997
8,18,15,15,935.7,1,39,0,62
8,20,3,3,316.98,1,42,1,106
2,20,1,3,3897,1,42,1,1299
2,20,1,3,17997,1,42,1,5999
