type,ts,data,old,dt
insert,1592126610,"{""id"":""1666737708490661890"",""user_id"":""2734"",""nick_name"":null,""head_img"":null,""sku_id"":""28"",""spu_id"":""9"",""order_id"":""5017"",""appraise"":""1204"",""comment_txt"":""评论内容：68266749792621311162426694738584423133214836324178"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708490661891"",""user_id"":""2872"",""nick_name"":null,""head_img"":null,""sku_id"":""23"",""spu_id"":""7"",""order_id"":""5017"",""appraise"":""1204"",""comment_txt"":""评论内容：72531174451174163647311535385387691614997654258117"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708490661892"",""user_id"":""1870"",""nick_name"":null,""head_img"":null,""sku_id"":""17"",""spu_id"":""5"",""order_id"":""5017"",""appraise"":""1204"",""comment_txt"":""评论内容：63885775721815232734149856494195389336493737814896"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708490661893"",""user_id"":""2156"",""nick_name"":null,""head_img"":null,""sku_id"":""8"",""spu_id"":""3"",""order_id"":""5017"",""appraise"":""1204"",""comment_txt"":""评论内容：69445972847871669673362364215359373793669133524191"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708490661894"",""user_id"":""1629"",""nick_name"":null,""head_img"":null,""sku_id"":""2"",""spu_id"":""1"",""order_id"":""5145"",""appraise"":""1204"",""comment_txt"":""评论内容：62835413248844221517651774381593662744353321642517"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708490661895"",""user_id"":""1317"",""nick_name"":null,""head_img"":null,""sku_id"":""6"",""spu_id"":""2"",""order_id"":""5183"",""appraise"":""1202"",""comment_txt"":""评论内容：45798263863218387495999199678281722733721986295236"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708490661896"",""user_id"":""2423"",""nick_name"":null,""head_img"":null,""sku_id"":""25"",""spu_id"":""8"",""order_id"":""5198"",""appraise"":""1204"",""comment_txt"":""评论内容：43687695428218648239149447716234583963827112129214"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708490661897"",""user_id"":""1453"",""nick_name"":null,""head_img"":null,""sku_id"":""32"",""spu_id"":""11"",""order_id"":""5198"",""appraise"":""1203"",""comment_txt"":""评论内容：21622651421555977745152377413991814848288765395515"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708507439105"",""user_id"":""2746"",""nick_name"":null,""head_img"":null,""sku_id"":""7"",""spu_id"":""2"",""order_id"":""5198"",""appraise"":""1204"",""comment_txt"":""评论内容：93466624357633143691428476752185437875356894799689"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708507439106"",""user_id"":""1706"",""nick_name"":null,""head_img"":null,""sku_id"":""6"",""spu_id"":""2"",""order_id"":""5213"",""appraise"":""1201"",""comment_txt"":""评论内容：43393955267361994173319227851113138154784384152647"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708507439107"",""user_id"":""2322"",""nick_name"":null,""head_img"":null,""sku_id"":""10"",""spu_id"":""3"",""order_id"":""5213"",""appraise"":""1204"",""comment_txt"":""评论内容：86699161546719745391381559223883331387989253723224"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708507439108"",""user_id"":""2160"",""nick_name"":null,""head_img"":null,""sku_id"":""29"",""spu_id"":""10"",""order_id"":""5213"",""appraise"":""1204"",""comment_txt"":""评论内容：21674333858177742671223863725547514966813378437627"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708507439109"",""user_id"":""2725"",""nick_name"":null,""head_img"":null,""sku_id"":""17"",""spu_id"":""5"",""order_id"":""5213"",""appraise"":""1204"",""comment_txt"":""评论内容：22117266441311461168399987858891952469452517349652"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708507439110"",""user_id"":""585"",""nick_name"":null,""head_img"":null,""sku_id"":""22"",""spu_id"":""7"",""order_id"":""5233"",""appraise"":""1204"",""comment_txt"":""评论内容：53665241465884114988832423134881646965933274761823"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708507439111"",""user_id"":""2361"",""nick_name"":null,""head_img"":null,""sku_id"":""26"",""spu_id"":""9"",""order_id"":""5233"",""appraise"":""1204"",""comment_txt"":""评论内容：32156594331359336555356823631394347126943743351293"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708507439112"",""user_id"":""2632"",""nick_name"":null,""head_img"":null,""sku_id"":""18"",""spu_id"":""5"",""order_id"":""5233"",""appraise"":""1204"",""comment_txt"":""评论内容：43556539347621132549297964441852243672923297251256"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708511633410"",""user_id"":""2985"",""nick_name"":null,""head_img"":null,""sku_id"":""32"",""spu_id"":""11"",""order_id"":""5278"",""appraise"":""1201"",""comment_txt"":""评论内容：98211875886598881291442228847383417187677495165199"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708511633411"",""user_id"":""1321"",""nick_name"":null,""head_img"":null,""sku_id"":""2"",""spu_id"":""1"",""order_id"":""5278"",""appraise"":""1201"",""comment_txt"":""评论内容：96626457277731811564414623765325272232636964255866"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708511633412"",""user_id"":""2520"",""nick_name"":null,""head_img"":null,""sku_id"":""23"",""spu_id"":""7"",""order_id"":""5278"",""appraise"":""1201"",""comment_txt"":""评论内容：42553415998242158398492679523921118733888123373243"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
insert,1592126610,"{""id"":""1666737708511633413"",""user_id"":""748"",""nick_name"":null,""head_img"":null,""sku_id"":""30"",""spu_id"":""10"",""order_id"":""5278"",""appraise"":""1201"",""comment_txt"":""评论内容：24952359189478351889283722851538521411612362656883"",""create_time"":""2020-06-14 17:23:30"",""operate_time"":null}",,2020-06-14
