type,ts,data,old,dt
insert,1592126599,"{""id"":""1824"",""order_id"":""6876"",""order_detail_id"":""19388"",""activity_id"":""1"",""activity_rule_id"":""2"",""sku_id"":""12"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1825"",""order_id"":""6876"",""order_detail_id"":""19388"",""activity_id"":""2"",""activity_rule_id"":""4"",""sku_id"":""12"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1826"",""order_id"":""6876"",""order_detail_id"":""19382"",""activity_id"":""3"",""activity_rule_id"":""6"",""sku_id"":""27"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1827"",""order_id"":""6876"",""order_detail_id"":""19383"",""activity_id"":""3"",""activity_rule_id"":""6"",""sku_id"":""26"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1828"",""order_id"":""6876"",""order_detail_id"":""19385"",""activity_id"":""3"",""activity_rule_id"":""6"",""sku_id"":""29"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1829"",""order_id"":""6877"",""order_detail_id"":""19392"",""activity_id"":""2"",""activity_rule_id"":""4"",""sku_id"":""10"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1830"",""order_id"":""6878"",""order_detail_id"":""19397"",""activity_id"":""1"",""activity_rule_id"":""2"",""sku_id"":""12"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1831"",""order_id"":""6878"",""order_detail_id"":""19397"",""activity_id"":""2"",""activity_rule_id"":""4"",""sku_id"":""12"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1832"",""order_id"":""6879"",""order_detail_id"":""19398"",""activity_id"":""1"",""activity_rule_id"":""2"",""sku_id"":""11"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1833"",""order_id"":""6879"",""order_detail_id"":""19398"",""activity_id"":""2"",""activity_rule_id"":""4"",""sku_id"":""11"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1834"",""order_id"":""6879"",""order_detail_id"":""19400"",""activity_id"":""2"",""activity_rule_id"":""4"",""sku_id"":""10"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1835"",""order_id"":""6880"",""order_detail_id"":""19402"",""activity_id"":""3"",""activity_rule_id"":""5"",""sku_id"":""31"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1836"",""order_id"":""6881"",""order_detail_id"":""19407"",""activity_id"":""3"",""activity_rule_id"":""6"",""sku_id"":""27"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1837"",""order_id"":""6881"",""order_detail_id"":""19411"",""activity_id"":""3"",""activity_rule_id"":""6"",""sku_id"":""31"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1838"",""order_id"":""6881"",""order_detail_id"":""19413"",""activity_id"":""3"",""activity_rule_id"":""6"",""sku_id"":""26"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1839"",""order_id"":""6885"",""order_detail_id"":""19420"",""activity_id"":""3"",""activity_rule_id"":""5"",""sku_id"":""29"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1840"",""order_id"":""6886"",""order_detail_id"":""19427"",""activity_id"":""1"",""activity_rule_id"":""2"",""sku_id"":""12"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1841"",""order_id"":""6886"",""order_detail_id"":""19427"",""activity_id"":""2"",""activity_rule_id"":""4"",""sku_id"":""12"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1842"",""order_id"":""6886"",""order_detail_id"":""19429"",""activity_id"":""3"",""activity_rule_id"":""5"",""sku_id"":""29"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1843"",""order_id"":""6887"",""order_detail_id"":""19434"",""activity_id"":""2"",""activity_rule_id"":""3"",""sku_id"":""10"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1844"",""order_id"":""6887"",""order_detail_id"":""19432"",""activity_id"":""3"",""activity_rule_id"":""5"",""sku_id"":""28"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1845"",""order_id"":""6887"",""order_detail_id"":""19433"",""activity_id"":""3"",""activity_rule_id"":""5"",""sku_id"":""30"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1846"",""order_id"":""6888"",""order_detail_id"":""19437"",""activity_id"":""1"",""activity_rule_id"":""1"",""sku_id"":""13"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1847"",""order_id"":""6888"",""order_detail_id"":""19438"",""activity_id"":""2"",""activity_rule_id"":""3"",""sku_id"":""10"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1848"",""order_id"":""6891"",""order_detail_id"":""19450"",""activity_id"":""1"",""activity_rule_id"":""1"",""sku_id"":""13"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1849"",""order_id"":""6891"",""order_detail_id"":""19454"",""activity_id"":""2"",""activity_rule_id"":""4"",""sku_id"":""8"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1850"",""order_id"":""6892"",""order_detail_id"":""19457"",""activity_id"":""2"",""activity_rule_id"":""4"",""sku_id"":""9"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1851"",""order_id"":""6894"",""order_detail_id"":""19470"",""activity_id"":""1"",""activity_rule_id"":""2"",""sku_id"":""11"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1852"",""order_id"":""6894"",""order_detail_id"":""19469"",""activity_id"":""2"",""activity_rule_id"":""4"",""sku_id"":""10"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1853"",""order_id"":""6894"",""order_detail_id"":""19470"",""activity_id"":""2"",""activity_rule_id"":""4"",""sku_id"":""11"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1854"",""order_id"":""6894"",""order_detail_id"":""19467"",""activity_id"":""3"",""activity_rule_id"":""6"",""sku_id"":""26"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1855"",""order_id"":""6894"",""order_detail_id"":""19468"",""activity_id"":""3"",""activity_rule_id"":""6"",""sku_id"":""28"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
