type,ts,data,old,dt
insert,1592126594,"{""id"":""49898"",""coupon_id"":""1"",""user_id"":""1"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49899"",""coupon_id"":""1"",""user_id"":""2"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49900"",""coupon_id"":""1"",""user_id"":""3"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49901"",""coupon_id"":""1"",""user_id"":""4"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49902"",""coupon_id"":""1"",""user_id"":""5"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49903"",""coupon_id"":""1"",""user_id"":""6"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49904"",""coupon_id"":""1"",""user_id"":""7"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49905"",""coupon_id"":""1"",""user_id"":""8"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49906"",""coupon_id"":""1"",""user_id"":""9"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49907"",""coupon_id"":""1"",""user_id"":""10"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49908"",""coupon_id"":""1"",""user_id"":""11"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49909"",""coupon_id"":""1"",""user_id"":""12"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49910"",""coupon_id"":""1"",""user_id"":""13"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49911"",""coupon_id"":""1"",""user_id"":""14"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49912"",""coupon_id"":""1"",""user_id"":""15"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49913"",""coupon_id"":""1"",""user_id"":""16"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49914"",""coupon_id"":""1"",""user_id"":""17"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49915"",""coupon_id"":""1"",""user_id"":""18"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49916"",""coupon_id"":""1"",""user_id"":""19"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49917"",""coupon_id"":""1"",""user_id"":""20"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49918"",""coupon_id"":""1"",""user_id"":""21"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49919"",""coupon_id"":""1"",""user_id"":""22"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49920"",""coupon_id"":""1"",""user_id"":""23"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49921"",""coupon_id"":""1"",""user_id"":""24"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49922"",""coupon_id"":""1"",""user_id"":""25"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49923"",""coupon_id"":""1"",""user_id"":""26"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49924"",""coupon_id"":""1"",""user_id"":""27"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49925"",""coupon_id"":""1"",""user_id"":""28"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49926"",""coupon_id"":""1"",""user_id"":""29"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49927"",""coupon_id"":""1"",""user_id"":""30"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49928"",""coupon_id"":""1"",""user_id"":""31"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49929"",""coupon_id"":""1"",""user_id"":""32"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49930"",""coupon_id"":""1"",""user_id"":""33"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
insert,1592126594,"{""id"":""49931"",""coupon_id"":""1"",""user_id"":""34"",""order_id"":null,""coupon_status"":""1401"",""get_time"":""2020-06-14 17:23:14"",""using_time"":null,""used_time"":null,""expire_time"":null}",,2020-06-14
