type,ts,data,old,dt
insert,1592126599,"{""id"":""1666737661539622913"",""order_id"":""6876"",""order_detail_id"":""19382"",""coupon_id"":""3"",""coupon_use_id"":null,""sku_id"":""27"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1666737661539622914"",""order_id"":""6876"",""order_detail_id"":""19382"",""coupon_id"":""3"",""coupon_use_id"":null,""sku_id"":""27"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1666737661539622915"",""order_id"":""6876"",""order_detail_id"":""19382"",""coupon_id"":""3"",""coupon_use_id"":null,""sku_id"":""27"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1666737661539622916"",""order_id"":""6876"",""order_detail_id"":""19382"",""coupon_id"":""3"",""coupon_use_id"":null,""sku_id"":""27"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1666737661539622917"",""order_id"":""6876"",""order_detail_id"":""19382"",""coupon_id"":""3"",""coupon_use_id"":null,""sku_id"":""27"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1666737661548011522"",""order_id"":""6876"",""order_detail_id"":""19382"",""coupon_id"":""3"",""coupon_use_id"":null,""sku_id"":""27"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1666737661548011523"",""order_id"":""6876"",""order_detail_id"":""19383"",""coupon_id"":""3"",""coupon_use_id"":null,""sku_id"":""26"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1666737661548011524"",""order_id"":""6876"",""order_detail_id"":""19383"",""coupon_id"":""3"",""coupon_use_id"":null,""sku_id"":""26"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1666737661552205826"",""order_id"":""6876"",""order_detail_id"":""19383"",""coupon_id"":""3"",""coupon_use_id"":null,""sku_id"":""26"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1666737661552205827"",""order_id"":""6876"",""order_detail_id"":""19383"",""coupon_id"":""3"",""coupon_use_id"":null,""sku_id"":""26"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1666737661552205828"",""order_id"":""6876"",""order_detail_id"":""19383"",""coupon_id"":""3"",""coupon_use_id"":null,""sku_id"":""26"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1666737661552205829"",""order_id"":""6876"",""order_detail_id"":""19383"",""coupon_id"":""3"",""coupon_use_id"":null,""sku_id"":""26"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
insert,1592126599,"{""id"":""1666737661552205830"",""order_id"":""6876"",""order_detail_id"":""19385"",""coupon_id"":""3"",""coupon_use_id"":null,""sku_id"":""29"",""create_time"":""2020-06-14 17:23:17""}",,2020-06-14
